timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1682258011337,2931,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-2,text,true,,25717,179,7,7,https://rcie.nuttchai.app/api/v1/search?offset=34737&limit=92&isHiddenRequired=true,2904,0,1870
1682258012933,1408,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-5,text,true,,13909,179,6,6,https://rcie.nuttchai.app/api/v1/search?offset=28135&limit=49&isHiddenRequired=true,1381,0,274
1682258013466,2210,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-6,text,true,,4234225,181,8,8,https://rcie.nuttchai.app/api/v1/search?offset=8926&limit=15258&isHiddenRequired=true,1377,0,123
1682258012403,3387,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-4,text,true,,4886871,182,7,7,https://rcie.nuttchai.app/api/v1/search?offset=23276&limit=17489&isHiddenRequired=true,2201,0,803
1682258016132,404,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-11,text,true,,6080,178,7,7,https://rcie.nuttchai.app/api/v1/search?offset=7633&limit=21&isHiddenRequired=true,404,0,118
1682258015067,1882,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-9,text,true,,4998344,181,7,7,https://rcie.nuttchai.app/api/v1/search?offset=1828&limit=17968&isHiddenRequired=true,628,0,115
1682258015599,1468,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-10,text,true,,4551363,181,6,6,https://rcie.nuttchai.app/api/v1/search?offset=1513&limit=16353&isHiddenRequired=true,595,0,123
1682258016666,542,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-12,text,true,,11211,179,6,6,https://rcie.nuttchai.app/api/v1/search?offset=22981&limit=39&isHiddenRequired=true,511,0,117
1682258010978,6348,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-1,text,true,,202567,321,5,5,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=24852&limit=738,6246,0,2227
1682258017200,360,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-13,text,true,,3291,179,4,4,https://rcie.nuttchai.app/api/v1/search?offset=42988&limit=10&isHiddenRequired=true,360,0,120
1682258011867,6328,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-3,text,true,,4592678,182,4,4,https://rcie.nuttchai.app/api/v1/search?offset=19571&limit=16511&isHiddenRequired=true,2835,0,1339
1682258013999,4311,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-7,text,true,,5075502,181,4,4,https://rcie.nuttchai.app/api/v1/search?offset=9208&limit=18234&isHiddenRequired=true,916,0,114
1682258014533,3929,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-8,text,true,,236898,319,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=7945&limit=860,3727,0,139
1682258018267,351,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-15,text,true,,21597,179,2,2,https://rcie.nuttchai.app/api/v1/search?offset=22849&limit=79&isHiddenRequired=true,318,0,128
1682258018802,376,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-16,text,true,,17659,179,2,2,https://rcie.nuttchai.app/api/v1/search?offset=48126&limit=59&isHiddenRequired=true,344,0,133
1682258017734,1585,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-14,text,true,,4412502,181,1,1,https://rcie.nuttchai.app/api/v1/search?offset=2670&limit=15881&isHiddenRequired=true,450,0,117
1682258019867,1634,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-18,text,true,,4519179,182,5,5,https://rcie.nuttchai.app/api/v1/search?offset=26903&limit=16196&isHiddenRequired=true,505,0,120
1682258019335,2199,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-17,text,true,,5535869,182,4,4,https://rcie.nuttchai.app/api/v1/search?offset=23665&limit=19828&isHiddenRequired=true,459,0,122
1682258021469,935,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-21,text,true,,5197798,182,4,4,https://rcie.nuttchai.app/api/v1/search?offset=15523&limit=18702&isHiddenRequired=true,505,0,119
1682258020935,1665,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-20,text,true,,78229,322,4,4,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=46567&limit=282,1599,0,110
1682258020401,2244,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-19,text,true,,108658,319,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=15100&limit=398,2143,0,119
1682258022537,995,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-23,text,true,,4471860,182,3,3,https://rcie.nuttchai.app/api/v1/search?offset=18014&limit=16079&isHiddenRequired=true,516,0,133
1682258024137,439,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-26,text,true,,12872,179,4,4,https://rcie.nuttchai.app/api/v1/search?offset=16611&limit=46&isHiddenRequired=true,408,0,141
1682258023603,1471,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-25,text,true,,4934874,181,4,4,https://rcie.nuttchai.app/api/v1/search?offset=7714&limit=17818&isHiddenRequired=true,599,0,141
