"Time","response_time"
2023-06-12 11:33:10,15.1 ms
2023-06-12 11:33:15,20.1 ms
2023-06-12 11:33:20,14.3 ms
2023-06-12 11:33:25,18.9 ms
2023-06-12 11:33:30,17.5 ms
2023-06-12 11:33:35,17.6 ms
2023-06-12 11:33:40,1.05 s
2023-06-12 11:33:45,1.61 s
2023-06-12 11:33:50,232 ms
2023-06-12 11:33:55,974 ms
2023-06-12 11:34:00,536 ms
2023-06-12 11:34:05,465 ms
2023-06-12 11:34:10,1.29 s
2023-06-12 11:34:15,443 ms
2023-06-12 11:34:20,397 ms
2023-06-12 11:34:25,497 ms
2023-06-12 11:34:30,654 ms
2023-06-12 11:34:35,977 ms
2023-06-12 11:34:40,800 ms
2023-06-12 11:34:45,227 ms
2023-06-12 11:34:50,836 ms
2023-06-12 11:34:55,682 ms
2023-06-12 11:35:00,636 ms
2023-06-12 11:35:05,938 ms
2023-06-12 11:35:10,806 ms
2023-06-12 11:35:15,243 ms
2023-06-12 11:35:20,294 ms
2023-06-12 11:35:25,1.03 s
2023-06-12 11:35:30,823 ms
2023-06-12 11:35:35,238 ms
2023-06-12 11:35:40,616 ms
2023-06-12 11:35:45,682 ms
2023-06-12 11:35:50,632 ms
2023-06-12 11:35:55,243 ms
2023-06-12 11:36:00,1.04 s
2023-06-12 11:36:05,983 ms
2023-06-12 11:36:10,665 ms
2023-06-12 11:36:15,982 ms
2023-06-12 11:36:20,1.12 s
2023-06-12 11:36:25,817 ms
2023-06-12 11:36:30,271 ms
2023-06-12 11:36:35,840 ms
2023-06-12 11:36:40,796 ms
2023-06-12 11:36:45,287 ms
2023-06-12 11:36:50,700 ms
2023-06-12 11:36:55,213 ms
2023-06-12 11:37:00,577 ms
2023-06-12 11:37:05,572 ms
2023-06-12 11:37:10,756 ms
2023-06-12 11:37:15,278 ms
2023-06-12 11:37:20,759 ms
2023-06-12 11:37:25,1.00 s
2023-06-12 11:37:30,877 ms
2023-06-12 11:37:35,788 ms
2023-06-12 11:37:40,685 ms
2023-06-12 11:37:45,540 ms
2023-06-12 11:37:50,532 ms
2023-06-12 11:37:55,663 ms
2023-06-12 11:38:00,283 ms
2023-06-12 11:38:05,763 ms
2023-06-12 11:38:10,454 ms
2023-06-12 11:38:15,1.22 s
2023-06-12 11:38:20,1.25 s
2023-06-12 11:38:25,468 ms
2023-06-12 11:38:30,665 ms
2023-06-12 11:38:35,752 ms
2023-06-12 11:38:40,435 ms
2023-06-12 11:38:45,292 ms
2023-06-12 11:38:50,303 ms
2023-06-12 11:38:55,788 ms
2023-06-12 11:39:00,813 ms
2023-06-12 11:39:05,667 ms
2023-06-12 11:39:10,1.06 s
2023-06-12 11:39:15,1.24 s
2023-06-12 11:39:20,557 ms
2023-06-12 11:39:25,262 ms
2023-06-12 11:39:30,794 ms
2023-06-12 11:39:35,622 ms
2023-06-12 11:39:40,653 ms
2023-06-12 11:39:45,610 ms
2023-06-12 11:39:50,559 ms
2023-06-12 11:39:55,322 ms
2023-06-12 11:40:00,610 ms
2023-06-12 11:40:05,682 ms
2023-06-12 11:40:10,1.08 s
2023-06-12 11:40:15,329 ms
2023-06-12 11:40:20,772 ms
2023-06-12 11:40:25,762 ms
2023-06-12 11:40:30,451 ms
2023-06-12 11:40:35,318 ms
2023-06-12 11:40:40,468 ms
2023-06-12 11:40:45,262 ms
2023-06-12 11:40:50,1.04 s
