"time","timestamp [ms]","cpu_usage [ratios]","memory_usage [ratios]","bandwidth_inbound [MB/s]","bandwidth_outbound [MB/s]","tps [req/s]","tps_error [req/s]","response_time [ms]","status"
"2023-06-12 11:33:10","1686544390000","0.006","0.374","8.73","6.42","0.2","0","15.1","0"
"2023-06-12 11:33:15","1686544395000","0.012","0.374","8.79","6.49","0.2","0","20.1","0"
"2023-06-12 11:33:20","1686544400000","0.008","0.374","8.77","6.46","0.2","0","14.3","0"
"2023-06-12 11:33:25","1686544405000","0.008","0.374","8.74","6.44","0.2","0","18.9","0"
"2023-06-12 11:33:30","1686544410000","0.008","0.374","8.88","6.53","0.2","0","17.5","0"
"2023-06-12 11:33:35","1686544415000","0.008","0.37","8.73","6.42","0.2","0","17.6","0"
"2023-06-12 11:33:40","1686544420000","0.048","0.369","906","1720","2","0","1050","0"
"2023-06-12 11:33:45","1686544425000","0.4","0.39399999999999996","17700","14300","2.6","0","1610","0"
"2023-06-12 11:33:50","1686544430000","0.126","0.387","5980","5130","1.6","0","232","0"
"2023-06-12 11:33:55","1686544435000","0.23600000000000002","0.385","8109.999999999999","7010","2.6","0","974","0"
"2023-06-12 11:34:00","1686544440000","0.21600000000000003","0.376","13900","11800","2","0","536","0"
"2023-06-12 11:34:05","1686544445000","0.182","0.376","10700","9250","1.8","0","465","0"
"2023-06-12 11:34:10","1686544450000","0.33799999999999997","0.376","16300","13900","2.19","0","1290","0"
"2023-06-12 11:34:15","1686544455000","0.214","0.376","13100","11200","2.41","0","443","0"
"2023-06-12 11:34:20","1686544460000","0.11199999999999999","0.376","3760","3830","2","0","397","0"
"2023-06-12 11:34:25","1686544465000","0.158","0.376","12500","10100","1.8","0","497","0"
"2023-06-12 11:34:30","1686544470000","0.23199999999999998","0.376","16200","13800","2.2","0","654","0"
"2023-06-12 11:34:35","1686544475000","0.21600000000000003","0.376","6080","5810","2.2","0","977","0"
"2023-06-12 11:34:40","1686544480000","0.25","0.374","11600","10000","2.2","0","800","0"
"2023-06-12 11:34:45","1686544485000","0.182","0.374","14300","11700","1.4","0","227","0"
"2023-06-12 11:34:50","1686544490000","0.2","0.374","6920","6000","2.6","0","836","0"
"2023-06-12 11:34:55","1686544495000","0.156","0.374","5800","5030","1.8","0","682","0"
"2023-06-12 11:35:00","1686544500000","0.23800000000000002","0.374","12900","11100","2","0","636","0"
"2023-06-12 11:35:05","1686544505000","0.23199999999999998","0.374","6430","5580","2.4","0","938","0"
"2023-06-12 11:35:10","1686544510000","0.23399999999999999","0.374","3590","3160","2.2","0","806","0"
"2023-06-12 11:35:15","1686544515000","0.174","0.374","13200","11200","2","0","243","0"
"2023-06-12 11:35:20","1686544520000","0.12","0.374","7930","6800","1.4","0","294","0"
"2023-06-12 11:35:25","1686544525000","0.27399999999999997","0.374","6940","6080","2.8","0","1030","0"
"2023-06-12 11:35:30","1686544530000","0.266","0.374","5770","5040","2.2","0","823","0"
"2023-06-12 11:35:35","1686544535000","0.138","0.374","8540","7260","1.8","0","238","0"
"2023-06-12 11:35:40","1686544540000","0.204","0.374","10400","8980","2.2","0","616","0"
"2023-06-12 11:35:45","1686544545000","0.214","0.374","3570","3130","2","0","682","0"
"2023-06-12 11:35:50","1686544550000","0.2","0.374","5770","4990","2.2","0","632","0"
"2023-06-12 11:35:55","1686544555000","0.11","0.374","7540","6470","1.8","0","243","0"
"2023-06-12 11:36:00","1686544560000","0.242","0.374","3970","3530","2.2","0","1040","0"
