"Time","Timestamp","cpu_usage","memory_usage","bandwidth_inbound","bandwidth_outbound","tps","tps_error","response_time","Status"
"2023-06-12 11:36:50","1686544610000","21.2%","36.8%","10.3 GB/s","8.92 GB/s","1.60 req/s","0 req/s","700 ms","0"
"2023-06-12 11:36:55","1686544615000","10.8%","36.8%","8.52 GB/s","7.20 GB/s","1.40 req/s","0 req/s","213 ms","0"
"2023-06-12 11:37:00","1686544620000","9.40%","36.8%","5.48 GB/s","4.70 GB/s","1.20 req/s","0 req/s","577 ms","0"
"2023-06-12 11:37:05","1686544625000","18.0%","36.8%","3.43 GB/s","3.00 GB/s","1.60 req/s","0 req/s","572 ms","0"
"2023-06-12 11:37:10","1686544630000","17.0%","36.8%","10.7 GB/s","9.16 GB/s","1.60 req/s","0 req/s","756 ms","0"
"2023-06-12 11:37:15","1686544635000","10%","36.8%","3.22 GB/s","2.76 GB/s","1.20 req/s","0 req/s","278 ms","0"
"2023-06-12 11:37:20","1686544640000","16.0%","36.8%","5.79 GB/s","5.00 GB/s","1.40 req/s","0 req/s","759 ms","0"
"2023-06-12 11:37:25","1686544645000","23.2%","36.8%","3.88 GB/s","4.07 GB/s","1.40 req/s","0 req/s","1.00 s","0"
"2023-06-12 11:37:30","1686544650000","18.2%","36.8%","2.77 GB/s","1.90 GB/s","1.40 req/s","0 req/s","877 ms","0"
"2023-06-12 11:37:35","1686544655000","17.2%","36.8%","6.14 GB/s","5.27 GB/s","1.60 req/s","0 req/s","788 ms","0"
"2023-06-12 11:37:40","1686544660000","22.4%","36.6%","5.80 GB/s","5.01 GB/s","1.60 req/s","0 req/s","685 ms","0"
"2023-06-12 11:37:45","1686544665000","11.2%","36.6%","3.10 GB/s","2.72 GB/s","1.40 req/s","0 req/s","540 ms","0"
"2023-06-12 11:37:50","1686544670000","16.2%","36.6%","3.30 GB/s","2.85 GB/s","1.40 req/s","0 req/s","532 ms","0"
"2023-06-12 11:37:55","1686544675000","12.8%","36.6%","682 MB/s","691 MB/s","1.60 req/s","0 req/s","663 ms","0"
"2023-06-12 11:38:00","1686544680000","8.60%","36.6%","5.16 GB/s","4.39 GB/s","1 req/s","0 req/s","283 ms","0"
"2023-06-12 11:38:05","1686544685000","17.4%","36.6%","3.57 GB/s","3.14 GB/s","1.80 req/s","0 req/s","763 ms","0"
"2023-06-12 11:38:10","1686544690000","12.8%","36.6%","5.33 GB/s","4.58 GB/s","1.60 req/s","0 req/s","454 ms","0"
"2023-06-12 11:38:15","1686544695000","18.8%","36.6%","6.04 GB/s","5.25 GB/s","1.20 req/s","0 req/s","1.22 s","0"
"2023-06-12 11:38:20","1686544700000","26.2%","36.6%","3.79 GB/s","3.43 GB/s","1.40 req/s","0 req/s","1.25 s","0"
"2023-06-12 11:38:25","1686544705000","14.2%","36.6%","3.51 GB/s","2.97 GB/s","1.40 req/s","0 req/s","468 ms","0"
"2023-06-12 11:38:30","1686544710000","14.2%","36.6%","2.94 GB/s","2.59 GB/s","1.60 req/s","0 req/s","665 ms","0"
"2023-06-12 11:38:35","1686544715000","18.0%","36.6%","3.27 GB/s","2.87 GB/s","1.60 req/s","0 req/s","752 ms","0"
"2023-06-12 11:38:40","1686544720000","10.2%","37.0%","5.46 GB/s","4.67 GB/s","1.40 req/s","0 req/s","435 ms","0"
"2023-06-12 11:38:45","1686544725000","6.20%","37.0%","4.93 GB/s","4.19 GB/s","1.40 req/s","0 req/s","292 ms","0"
"2023-06-12 11:38:50","1686544730000","12.0%","37.0%","5.57 GB/s","4.76 GB/s","1.60 req/s","0 req/s","303 ms","0"
"2023-06-12 11:38:55","1686544735000","19.0%","36.8%","7.14 GB/s","6.80 GB/s","1.20 req/s","0 req/s","788 ms","0"
"2023-06-12 11:39:00","1686544740000","25.6%","36.8%","10.4 GB/s","8.30 GB/s","1.40 req/s","0 req/s","813 ms","0"
"2023-06-12 11:39:05","1686544745000","13.8%","36.8%","2.80 GB/s","2.43 GB/s","1.20 req/s","0 req/s","667 ms","0"
"2023-06-12 11:39:10","1686544750000","27.4%","38.0%","8.37 GB/s","7.22 GB/s","1.60 req/s","0 req/s","1.06 s","0"
"2023-06-12 11:39:15","1686544755000","25.2%","37.8%","6.87 GB/s","6.65 GB/s","1.60 req/s","0 req/s","1.24 s","0"
"2023-06-12 11:39:20","1686544760000","13.2%","37.8%","7.44 GB/s","5.72 GB/s","1.40 req/s","0 req/s","557 ms","0"
"2023-06-12 11:39:25","1686544765000","16.4%","37.6%","9.80 GB/s","8.34 GB/s","1.60 req/s","0 req/s","262 ms","0"
"2023-06-12 11:39:30","1686544770000","16.0%","37.6%","5.91 GB/s","5.11 GB/s","1.40 req/s","0 req/s","794 ms","0"
"2023-06-12 11:39:35","1686544775000","16.6%","37.6%","10.7 GB/s","9.18 GB/s","1.20 req/s","0 req/s","622 ms","0"
"2023-06-12 11:39:40","1686544780000","15.2%","37.2%","3.18 GB/s","2.75 GB/s","1.80 req/s","0 req/s","653 ms","0"
"2023-06-12 11:39:45","1686544785000","11.2%","37.2%","3.36 GB/s","2.92 GB/s","1.40 req/s","0 req/s","610 ms","0"
"2023-06-12 11:39:50","1686544790000","7.60%","37.2%","2.65 GB/s","2.29 GB/s","1.40 req/s","0 req/s","559 ms","0"
"2023-06-12 11:39:55","1686544795000","16.4%","37.2%","8.74 GB/s","8.12 GB/s","1.40 req/s","0 req/s","322 ms","0"
"2023-06-12 11:40:00","1686544800000","12.0%","37.2%","5.41 GB/s","4.06 GB/s","1.20 req/s","0 req/s","610 ms","0"
"2023-06-12 11:40:05","1686544805000","22.8%","37.2%","3.33 GB/s","2.93 GB/s","1.40 req/s","0 req/s","682 ms","0"
"2023-06-12 11:40:10","1686544810000","22.0%","37.2%","8.60 GB/s","7.32 GB/s","1.60 req/s","0 req/s","1.08 s","0"
"2023-06-12 11:40:15","1686544815000","9.40%","37.2%","5.65 GB/s","5.31 GB/s","1.40 req/s","0 req/s","329 ms","0"
"2023-06-12 11:40:20","1686544820000","14.0%","37.2%","3.05 GB/s","2.21 GB/s","1.60 req/s","0 req/s","772 ms","0"
"2023-06-12 11:40:25","1686544825000","18.4%","37.2%","6.09 GB/s","5.26 GB/s","1.60 req/s","0 req/s","762 ms","0"
"2023-06-12 11:40:30","1686544830000","10.6%","37.2%","3.04 GB/s","2.61 GB/s","1.40 req/s","0 req/s","451 ms","0"
"2023-06-12 11:40:35","1686544835000","16.4%","37.2%","11.2 GB/s","9.54 GB/s","1.40 req/s","0 req/s","318 ms","0"
"2023-06-12 11:40:40","1686544840000","11.8%","37.2%","8.40 GB/s","7.20 GB/s","1.40 req/s","0 req/s","468 ms","0"
"2023-06-12 11:40:45","1686544845000","8.20%","37.2%","3.16 GB/s","2.73 GB/s","1.20 req/s","0 req/s","262 ms","0"
"2023-06-12 11:40:50","1686544850000","25.2%","37.2%","8.75 GB/s","7.54 GB/s","1.80 req/s","0 req/s","1.04 s","0"
"2023-06-12 11:40:55","1686544855000","13.4%","37.2%","7.97 GB/s","6.82 GB/s","1.40 req/s","0 req/s","407 ms","0"
"2023-06-12 11:41:00","1686544860000","12.8%","37.2%","3.38 GB/s","2.94 GB/s","1.60 req/s","0 req/s","570 ms","0"
"2023-06-12 11:41:05","1686544865000","15.8%","37.2%","8.04 GB/s","6.84 GB/s","1.20 req/s","0 req/s","384 ms","0"
"2023-06-12 11:41:10","1686544870000","10.8%","37.2%","5.01 GB/s","4.29 GB/s","1 req/s","0 req/s","517 ms","0"
"2023-06-12 11:41:15","1686544875000","1.000%","37.2%","27.6 MB/s","22.8 MB/s","0.600 req/s","0 req/s","86.1 ms","0"
"2023-06-12 11:41:20","1686544880000","1.20%","37.2%","22.9 MB/s","18.8 MB/s","0.400 req/s","0 req/s","93.2 ms","0"
"2023-06-12 11:41:25","1686544885000","5.60%","37.2%","3.92 GB/s","3.64 GB/s","0.600 req/s","0 req/s","269 ms","0"
"2023-06-12 11:41:30","1686544890000","1.20%","37.2%","894 MB/s","452 MB/s","0.400 req/s","0 req/s","92.3 ms","0"
"2023-06-12 11:41:35","1686544895000","12.0%","37.2%","3.10 GB/s","2.69 GB/s","0.800 req/s","0 req/s","781 ms","0"
"2023-06-12 11:41:40","1686544900000","10.0%","37.2%","2.69 GB/s","2.35 GB/s","0.600 req/s","0 req/s","794 ms","0"
"2023-06-12 11:41:45","1686544905000","5.40%","37.2%","339 MB/s","325 MB/s","0.400 req/s","0 req/s","1.27 s","0"
"2023-06-12 11:41:50","1686544910000","14.8%","37.2%","3.42 GB/s","2.95 GB/s","0.600 req/s","0 req/s","908 ms","0"
"2023-06-12 11:41:55","1686544915000","1.40%","37.2%","24.2 MB/s","20.0 MB/s","0.600 req/s","0 req/s","202 ms","0"
"2023-06-12 11:42:00","1686544920000","3.00%","37.2%","2.40 GB/s","2.04 GB/s","0.600 req/s","0 req/s","275 ms","0"
"2023-06-12 11:42:05","1686544925000","9.20%","37.2%","290 MB/s","315 MB/s","0.600 req/s","0 req/s","963 ms","0"
"2023-06-12 11:42:10","1686544930000","7.20%","37.2%","347 MB/s","298 MB/s","0.400 req/s","0 req/s","428 ms","0"
"2023-06-12 11:42:15","1686544935000","7.00%","37.2%","320 MB/s","306 MB/s","0.600 req/s","0 req/s","560 ms","0"
"2023-06-12 11:42:20","1686544940000","9.40%","37.2%","526 MB/s","510 MB/s","0.600 req/s","0 req/s","1.04 s","0"
"2023-06-12 11:42:25","1686544945000","3.60%","37.1%","21.1 MB/s","17.1 MB/s","0.600 req/s","0 req/s","69.1 ms","0"
"2023-06-12 11:42:30","1686544950000","4.40%","37.1%","2.86 GB/s","2.44 GB/s","0.600 req/s","0 req/s","208 ms","0"
"2023-06-12 11:42:35","1686544955000","1.000%","37.1%","19.4 MB/s","15.8 MB/s","0.400 req/s","0 req/s","122 ms","0"
"2023-06-12 11:42:40","1686544960000","6.00%","37.1%","4.97 GB/s","4.23 GB/s","0.600 req/s","0 req/s","268 ms","0"
"2023-06-12 11:42:45","1686544965000","2.80%","37.1%","104 MB/s","129 MB/s","0.400 req/s","0 req/s","89.9 ms","0"
"2023-06-12 11:42:50","1686544970000","4.00%","37.1%","315 MB/s","273 MB/s","0.800 req/s","0 req/s","688 ms","0"
"2023-06-12 11:42:55","1686544975000","7.00%","37.1%","5.07 GB/s","4.32 GB/s","0.600 req/s","0 req/s","430 ms","0"
"2023-06-12 11:43:00","1686544980000","8.20%","37.1%","3.01 GB/s","2.58 GB/s","0.400 req/s","0 req/s","237 ms","0"
"2023-06-12 11:43:05","1686544985000","12.6%","37.1%","3.28 GB/s","2.84 GB/s","0.600 req/s","0 req/s","982 ms","0"
