"Time","bandwidth_inbound","bandwidth_outbound"
2023-06-12 11:33:10,8.73 MB/s,6.42 MB/s
2023-06-12 11:33:15,8.79 MB/s,6.49 MB/s
2023-06-12 11:33:20,8.77 MB/s,6.46 MB/s
2023-06-12 11:33:25,8.74 MB/s,6.44 MB/s
2023-06-12 11:33:30,8.88 MB/s,6.53 MB/s
2023-06-12 11:33:35,8.73 MB/s,6.42 MB/s
2023-06-12 11:33:40,906 MB/s,1.72 GB/s
2023-06-12 11:33:45,17.7 GB/s,14.3 GB/s
2023-06-12 11:33:50,5.98 GB/s,5.13 GB/s
2023-06-12 11:33:55,8.11 GB/s,7.01 GB/s
2023-06-12 11:34:00,13.9 GB/s,11.8 GB/s
2023-06-12 11:34:05,10.7 GB/s,9.25 GB/s
2023-06-12 11:34:10,16.3 GB/s,13.9 GB/s
2023-06-12 11:34:15,13.1 GB/s,11.2 GB/s
2023-06-12 11:34:20,3.76 GB/s,3.83 GB/s
2023-06-12 11:34:25,12.5 GB/s,10.1 GB/s
2023-06-12 11:34:30,16.2 GB/s,13.8 GB/s
2023-06-12 11:34:35,6.08 GB/s,5.81 GB/s
2023-06-12 11:34:40,11.6 GB/s,10.0 GB/s
2023-06-12 11:34:45,14.3 GB/s,11.7 GB/s
2023-06-12 11:34:50,6.92 GB/s,6.00 GB/s
2023-06-12 11:34:55,5.80 GB/s,5.03 GB/s
2023-06-12 11:35:00,12.9 GB/s,11.1 GB/s
2023-06-12 11:35:05,6.43 GB/s,5.58 GB/s
2023-06-12 11:35:10,3.59 GB/s,3.16 GB/s
2023-06-12 11:35:15,13.2 GB/s,11.2 GB/s
2023-06-12 11:35:20,7.93 GB/s,6.80 GB/s
2023-06-12 11:35:25,6.94 GB/s,6.08 GB/s
2023-06-12 11:35:30,5.77 GB/s,5.04 GB/s
2023-06-12 11:35:35,8.54 GB/s,7.26 GB/s
2023-06-12 11:35:40,10.4 GB/s,8.98 GB/s
2023-06-12 11:35:45,3.57 GB/s,3.13 GB/s
2023-06-12 11:35:50,5.77 GB/s,4.99 GB/s
2023-06-12 11:35:55,7.54 GB/s,6.47 GB/s
2023-06-12 11:36:00,3.97 GB/s,3.53 GB/s
2023-06-12 11:36:05,10.2 GB/s,9.56 GB/s
2023-06-12 11:36:10,11.0 GB/s,8.77 GB/s
2023-06-12 11:36:15,6.35 GB/s,5.50 GB/s
2023-06-12 11:36:20,9.58 GB/s,8.28 GB/s
2023-06-12 11:36:25,8.43 GB/s,7.30 GB/s
2023-06-12 11:36:30,7.96 GB/s,6.79 GB/s
2023-06-12 11:36:35,3.16 GB/s,2.79 GB/s
2023-06-12 11:36:40,773 MB/s,810 MB/s
2023-06-12 11:36:45,5.50 GB/s,4.65 GB/s
2023-06-12 11:36:50,10.3 GB/s,8.92 GB/s
2023-06-12 11:36:55,8.52 GB/s,7.20 GB/s
2023-06-12 11:37:00,5.48 GB/s,4.70 GB/s
2023-06-12 11:37:05,3.43 GB/s,3.00 GB/s
2023-06-12 11:37:10,10.7 GB/s,9.16 GB/s
2023-06-12 11:37:15,3.22 GB/s,2.76 GB/s
2023-06-12 11:37:20,5.79 GB/s,5.00 GB/s
2023-06-12 11:37:25,3.88 GB/s,4.07 GB/s
2023-06-12 11:37:30,2.77 GB/s,1.90 GB/s
2023-06-12 11:37:35,6.14 GB/s,5.27 GB/s
2023-06-12 11:37:40,5.80 GB/s,5.01 GB/s
2023-06-12 11:37:45,3.10 GB/s,2.72 GB/s
2023-06-12 11:37:50,3.30 GB/s,2.85 GB/s
2023-06-12 11:37:55,682 MB/s,691 MB/s
