"Time","tps","tps_error"
2023-06-12 11:43:00,0.400 req/s,0 req/s
2023-06-12 11:43:05,0.600 req/s,0 req/s
2023-06-12 11:43:10,0.400 req/s,0 req/s
2023-06-12 11:43:15,0.800 req/s,0 req/s
2023-06-12 11:43:20,0.600 req/s,0 req/s
2023-06-12 11:43:25,0.600 req/s,0 req/s
2023-06-12 11:43:30,0.400 req/s,0 req/s
2023-06-12 11:43:35,0.600 req/s,0 req/s
2023-06-12 11:43:40,0.600 req/s,0 req/s
2023-06-12 11:43:45,0.600 req/s,0 req/s
2023-06-12 11:43:50,0.600 req/s,0 req/s
2023-06-12 11:43:55,0.600 req/s,0 req/s
2023-06-12 11:44:00,0.400 req/s,0 req/s
2023-06-12 11:44:05,0.600 req/s,0 req/s
2023-06-12 11:44:10,0.600 req/s,0 req/s
2023-06-12 11:44:15,0.400 req/s,0 req/s
2023-06-12 11:44:20,0.800 req/s,0 req/s
2023-06-12 11:44:25,0.400 req/s,0 req/s
2023-06-12 11:44:30,0.200 req/s,0 req/s
2023-06-12 11:44:35,0.400 req/s,0 req/s
2023-06-12 11:44:40,0.400 req/s,0 req/s
2023-06-12 11:44:45,0.400 req/s,0 req/s
2023-06-12 11:44:50,0.400 req/s,0 req/s
2023-06-12 11:44:55,0.200 req/s,0 req/s
2023-06-12 11:45:00,0.400 req/s,0 req/s
2023-06-12 11:45:05,0.400 req/s,0 req/s
2023-06-12 11:45:10,0.400 req/s,0 req/s
2023-06-12 11:45:15,0.400 req/s,0 req/s
2023-06-12 11:45:20,0.400 req/s,0 req/s
2023-06-12 11:45:25,0.200 req/s,0 req/s
2023-06-12 11:45:30,0.400 req/s,0 req/s
2023-06-12 11:45:35,0.400 req/s,0 req/s
2023-06-12 11:45:40,0.200 req/s,0 req/s
2023-06-12 11:45:45,0.600 req/s,0 req/s
2023-06-12 11:45:50,0.200 req/s,0 req/s
2023-06-12 11:45:55,0.400 req/s,0 req/s
2023-06-12 11:46:00,0.400 req/s,0 req/s
2023-06-12 11:46:05,0.400 req/s,0 req/s
2023-06-12 11:46:10,0.200 req/s,0 req/s
2023-06-12 11:46:15,0.400 req/s,0 req/s
2023-06-12 11:46:20,0.400 req/s,0 req/s
2023-06-12 11:46:25,0.400 req/s,0 req/s
2023-06-12 11:46:30,0.400 req/s,0 req/s
2023-06-12 11:46:35,0.400 req/s,0 req/s
2023-06-12 11:46:40,0.200 req/s,0 req/s
2023-06-12 11:46:45,0.400 req/s,0 req/s
2023-06-12 11:46:50,0.400 req/s,0 req/s
2023-06-12 11:46:55,0.400 req/s,0 req/s
2023-06-12 11:47:00,0.400 req/s,0 req/s
2023-06-12 11:47:05,0.200 req/s,0 req/s
2023-06-12 11:47:10,0.400 req/s,0 req/s
2023-06-12 11:47:15,0.400 req/s,0 req/s
2023-06-12 11:47:20,0.600 req/s,0 req/s
2023-06-12 11:47:25,1.40 req/s,0 req/s
2023-06-12 11:47:30,1.40 req/s,0 req/s
2023-06-12 11:47:35,1 req/s,0 req/s
2023-06-12 11:47:40,1.60 req/s,0 req/s
2023-06-12 11:47:45,1.20 req/s,0 req/s
2023-06-12 11:47:50,1.40 req/s,0 req/s
2023-06-12 11:47:55,1.20 req/s,0 req/s
2023-06-12 11:48:00,1.40 req/s,0 req/s
2023-06-12 11:48:05,1.20 req/s,0 req/s
2023-06-12 11:48:10,1.20 req/s,0 req/s
2023-06-12 11:48:15,1.20 req/s,0 req/s
2023-06-12 11:48:20,1.40 req/s,0 req/s
2023-06-12 11:48:25,1.40 req/s,0 req/s
2023-06-12 11:48:30,1 req/s,0 req/s
2023-06-12 11:48:35,1.60 req/s,0 req/s
2023-06-12 11:48:40,1.20 req/s,0 req/s
2023-06-12 11:48:45,1.40 req/s,0 req/s
2023-06-12 11:48:50,0.800 req/s,0 req/s
2023-06-12 11:48:55,1.80 req/s,0 req/s
2023-06-12 11:49:00,1.40 req/s,0 req/s
2023-06-12 11:49:05,0.800 req/s,0 req/s
2023-06-12 11:49:10,1.80 req/s,0 req/s
2023-06-12 11:49:15,1.20 req/s,0 req/s
2023-06-12 11:49:20,1.20 req/s,0 req/s
2023-06-12 11:49:25,1.20 req/s,0 req/s
2023-06-12 11:49:30,1.60 req/s,0 req/s
2023-06-12 11:49:35,1 req/s,0 req/s
2023-06-12 11:49:40,1.60 req/s,0 req/s
2023-06-12 11:49:45,1.20 req/s,0 req/s
2023-06-12 11:49:50,1.40 req/s,0 req/s
2023-06-12 11:49:55,1.20 req/s,0 req/s
2023-06-12 11:50:00,1.40 req/s,0 req/s
2023-06-12 11:50:05,1 req/s,0 req/s
2023-06-12 11:50:10,1.40 req/s,0 req/s
2023-06-12 11:50:15,1.40 req/s,0 req/s
2023-06-12 11:50:20,1.20 req/s,0 req/s
2023-06-12 11:50:25,1.40 req/s,0 req/s
2023-06-12 11:50:30,1.40 req/s,0 req/s
2023-06-12 11:50:35,1.20 req/s,0 req/s
2023-06-12 11:50:40,1.40 req/s,0 req/s
2023-06-12 11:50:45,1.20 req/s,0 req/s
2023-06-12 11:50:50,1 req/s,0 req/s
2023-06-12 11:50:55,1.60 req/s,0 req/s
2023-06-12 11:51:00,1.40 req/s,0 req/s
2023-06-12 11:51:05,0.800 req/s,0 req/s
2023-06-12 11:51:10,1.20 req/s,0 req/s
2023-06-12 11:51:15,1.80 req/s,0 req/s
2023-06-12 11:51:20,1.40 req/s,0 req/s
2023-06-12 11:51:25,2.20 req/s,0 req/s
2023-06-12 11:51:30,3.40 req/s,0 req/s
2023-06-12 11:51:35,3.00 req/s,0 req/s
2023-06-12 11:51:40,2.40 req/s,0 req/s
2023-06-12 11:51:45,2.40 req/s,0 req/s
2023-06-12 11:51:50,3 req/s,0 req/s
2023-06-12 11:51:55,3.40 req/s,0 req/s
2023-06-12 11:52:00,2.80 req/s,0 req/s
2023-06-12 11:52:05,2 req/s,0 req/s
2023-06-12 11:52:10,4.40 req/s,0 req/s
2023-06-12 11:52:15,3.20 req/s,0 req/s
2023-06-12 11:52:20,2.80 req/s,0 req/s
2023-06-12 11:52:25,3.40 req/s,0 req/s
2023-06-12 11:52:30,2.40 req/s,0 req/s
2023-06-12 11:52:35,3.20 req/s,0 req/s
2023-06-12 11:52:40,3.40 req/s,0 req/s
2023-06-12 11:52:45,3.40 req/s,0 req/s
2023-06-12 11:52:50,2.20 req/s,0 req/s
2023-06-12 11:52:55,3 req/s,0 req/s
2023-06-12 11:53:00,2.80 req/s,0 req/s
2023-06-12 11:53:05,3.60 req/s,0 req/s
2023-06-12 11:53:10,2.60 req/s,0 req/s
2023-06-12 11:53:15,3.60 req/s,0 req/s
2023-06-12 11:53:20,3.40 req/s,0 req/s
2023-06-12 11:53:25,2.20 req/s,0 req/s
2023-06-12 11:53:30,3.60 req/s,0 req/s
2023-06-12 11:53:35,3.00 req/s,0 req/s
2023-06-12 11:53:40,2.80 req/s,0 req/s
2023-06-12 11:53:45,2.40 req/s,0 req/s
2023-06-12 11:53:50,3.40 req/s,0 req/s
2023-06-12 11:53:55,3.20 req/s,0 req/s
2023-06-12 11:54:00,2.60 req/s,0 req/s
2023-06-12 11:54:05,2 req/s,0 req/s
2023-06-12 11:54:10,2 req/s,0 req/s
2023-06-12 11:54:15,2 req/s,0 req/s
2023-06-12 11:54:20,2.40 req/s,0 req/s
2023-06-12 11:54:25,1.80 req/s,0 req/s
2023-06-12 11:54:30,2 req/s,0 req/s
2023-06-12 11:54:35,2 req/s,0 req/s
2023-06-12 11:54:40,1.80 req/s,0 req/s
2023-06-12 11:54:45,2.40 req/s,0 req/s
2023-06-12 11:54:50,2 req/s,0 req/s
2023-06-12 11:54:55,2.40 req/s,0 req/s
2023-06-12 11:55:00,1.80 req/s,0 req/s
2023-06-12 11:55:05,1.60 req/s,0 req/s
2023-06-12 11:55:10,2.60 req/s,0 req/s
2023-06-12 11:55:15,1.80 req/s,0 req/s
2023-06-12 11:55:20,2 req/s,0 req/s
2023-06-12 11:55:25,2 req/s,0 req/s
2023-06-12 11:55:30,2 req/s,0 req/s
2023-06-12 11:55:35,2.40 req/s,0 req/s
2023-06-12 11:55:40,1.60 req/s,0 req/s
2023-06-12 11:55:45,2.20 req/s,0 req/s
2023-06-12 11:55:50,1.60 req/s,0 req/s
2023-06-12 11:55:55,2.40 req/s,0 req/s
2023-06-12 11:56:00,2 req/s,0 req/s
2023-06-12 11:56:05,2.20 req/s,0 req/s
2023-06-12 11:56:10,2 req/s,0 req/s
2023-06-12 11:56:15,2.20 req/s,0 req/s
2023-06-12 11:56:20,1.60 req/s,0 req/s
2023-06-12 11:56:25,2.60 req/s,0 req/s
2023-06-12 11:56:30,2 req/s,0 req/s
2023-06-12 11:56:35,2 req/s,0 req/s
2023-06-12 11:56:40,1.60 req/s,0 req/s
2023-06-12 11:56:45,2.40 req/s,0 req/s
2023-06-12 11:56:50,1.40 req/s,0 req/s
2023-06-12 11:56:55,2.20 req/s,0 req/s
2023-06-12 11:57:00,2.60 req/s,0 req/s
2023-06-12 11:57:05,1.80 req/s,0 req/s
2023-06-12 11:57:10,2.20 req/s,0 req/s
2023-06-12 11:57:15,1.20 req/s,0 req/s
2023-06-12 11:57:20,1.20 req/s,0 req/s
2023-06-12 11:57:25,3.60 req/s,0 req/s
2023-06-12 11:57:30,2.40 req/s,0 req/s
2023-06-12 11:57:35,2.60 req/s,0 req/s
2023-06-12 11:57:40,2.60 req/s,0 req/s
2023-06-12 11:57:45,2.80 req/s,0 req/s
2023-06-12 11:57:50,2.40 req/s,0 req/s
2023-06-12 11:57:55,2.20 req/s,0 req/s
2023-06-12 11:58:00,2.60 req/s,0 req/s
2023-06-12 11:58:05,2.40 req/s,0 req/s
2023-06-12 11:58:10,2 req/s,0 req/s
2023-06-12 11:58:15,2.60 req/s,0 req/s
2023-06-12 11:58:20,2.80 req/s,0 req/s
2023-06-12 11:58:25,2.20 req/s,0 req/s
2023-06-12 11:58:30,2.60 req/s,0 req/s
