"Time","tps","tps_error"
2023-05-25 18:13:15,0.236 req/s,0 req/s
2023-05-25 18:13:20,0.236 req/s,0 req/s
2023-05-25 18:13:25,0.218 req/s,0 req/s
2023-05-25 18:13:30,0.218 req/s,0 req/s
2023-05-25 18:13:35,0.455 req/s,0 req/s
2023-05-25 18:13:40,0.618 req/s,0 req/s
2023-05-25 18:13:45,0.818 req/s,0 req/s
2023-05-25 18:13:50,0.982 req/s,0 req/s
2023-05-25 18:13:55,1.11 req/s,0 req/s
2023-05-25 18:14:00,1.31 req/s,0 req/s
2023-05-25 18:14:05,1.49 req/s,0 req/s
2023-05-25 18:14:10,1.65 req/s,0 req/s
2023-05-25 18:14:15,1.84 req/s,0 req/s
2023-05-25 18:14:20,2.02 req/s,0 req/s
2023-05-25 18:14:25,2.18 req/s,0 req/s
2023-05-25 18:14:30,2.11 req/s,0 req/s
2023-05-25 18:14:35,2.11 req/s,0 req/s
2023-05-25 18:14:40,2.05 req/s,0 req/s
2023-05-25 18:14:45,2.07 req/s,0 req/s
2023-05-25 18:14:50,2.13 req/s,0 req/s
2023-05-25 18:14:55,2.09 req/s,0 req/s
2023-05-25 18:15:00,2.05 req/s,0 req/s
2023-05-25 18:15:05,2.07 req/s,0 req/s
2023-05-25 18:15:10,2.05 req/s,0 req/s
2023-05-25 18:15:15,2.04 req/s,0 req/s
2023-05-25 18:15:20,2.07 req/s,0 req/s
2023-05-25 18:15:25,2.07 req/s,0 req/s
2023-05-25 18:15:30,2.04 req/s,0 req/s
2023-05-25 18:15:35,2.09 req/s,0 req/s
2023-05-25 18:15:40,2.07 req/s,0 req/s
2023-05-25 18:15:45,2.07 req/s,0 req/s
2023-05-25 18:15:50,2.05 req/s,0 req/s
2023-05-25 18:15:55,2.11 req/s,0 req/s
2023-05-25 18:16:00,2.05 req/s,0 req/s
2023-05-25 18:16:05,2.11 req/s,0 req/s
2023-05-25 18:16:10,2.05 req/s,0 req/s
2023-05-25 18:16:15,2.05 req/s,0 req/s
2023-05-25 18:16:20,2 req/s,0 req/s
2023-05-25 18:16:25,1.98 req/s,0 req/s
2023-05-25 18:16:30,1.87 req/s,0 req/s
2023-05-25 18:16:35,1.80 req/s,0 req/s
2023-05-25 18:16:40,1.78 req/s,0 req/s
2023-05-25 18:16:45,1.71 req/s,0 req/s
2023-05-25 18:16:50,1.65 req/s,0 req/s
2023-05-25 18:16:55,1.64 req/s,0 req/s
2023-05-25 18:17:00,1.55 req/s,0 req/s
2023-05-25 18:17:05,1.51 req/s,0 req/s
2023-05-25 18:17:10,1.42 req/s,0 req/s
2023-05-25 18:17:15,1.42 req/s,0 req/s
2023-05-25 18:17:20,1.42 req/s,0 req/s
2023-05-25 18:17:25,1.42 req/s,0 req/s
2023-05-25 18:17:30,1.47 req/s,0 req/s
2023-05-25 18:17:35,1.42 req/s,0 req/s
2023-05-25 18:17:40,1.45 req/s,0 req/s
2023-05-25 18:17:45,1.42 req/s,0 req/s
2023-05-25 18:17:50,1.44 req/s,0 req/s
2023-05-25 18:17:55,1.42 req/s,0 req/s
2023-05-25 18:18:00,1.45 req/s,0 req/s
2023-05-25 18:18:05,1.45 req/s,0 req/s
2023-05-25 18:18:10,1.45 req/s,0 req/s
2023-05-25 18:18:15,1.47 req/s,0 req/s
2023-05-25 18:18:20,1.47 req/s,0 req/s
2023-05-25 18:18:25,1.44 req/s,0 req/s
2023-05-25 18:18:30,1.45 req/s,0 req/s
2023-05-25 18:18:35,1.47 req/s,0 req/s
2023-05-25 18:18:40,1.47 req/s,0 req/s
2023-05-25 18:18:45,1.45 req/s,0 req/s
2023-05-25 18:18:50,1.44 req/s,0 req/s
2023-05-25 18:18:55,1.45 req/s,0 req/s
2023-05-25 18:19:00,1.45 req/s,0 req/s
2023-05-25 18:19:05,1.45 req/s,0 req/s
2023-05-25 18:19:10,1.44 req/s,0 req/s
2023-05-25 18:19:15,1.47 req/s,0 req/s
2023-05-25 18:19:20,1.47 req/s,0 req/s
2023-05-25 18:19:25,1.45 req/s,0 req/s
2023-05-25 18:19:30,1.42 req/s,0 req/s
2023-05-25 18:19:35,1.45 req/s,0 req/s
2023-05-25 18:19:40,1.45 req/s,0 req/s
2023-05-25 18:19:45,1.45 req/s,0 req/s
2023-05-25 18:19:50,1.45 req/s,0 req/s
2023-05-25 18:19:55,1.47 req/s,0 req/s
2023-05-25 18:20:00,1.45 req/s,0 req/s
2023-05-25 18:20:05,1.42 req/s,0 req/s
2023-05-25 18:20:10,1.44 req/s,0 req/s
2023-05-25 18:20:15,1.42 req/s,0 req/s
2023-05-25 18:20:20,1.40 req/s,0 req/s
2023-05-25 18:20:25,1.47 req/s,0 req/s
2023-05-25 18:20:30,1.42 req/s,0 req/s
2023-05-25 18:20:35,1.45 req/s,0 req/s
2023-05-25 18:20:40,1.45 req/s,0 req/s
2023-05-25 18:20:45,1.42 req/s,0 req/s
2023-05-25 18:20:50,1.44 req/s,0 req/s
2023-05-25 18:20:55,1.45 req/s,0 req/s
2023-05-25 18:21:00,1.47 req/s,0 req/s
2023-05-25 18:21:05,1.38 req/s,0 req/s
2023-05-25 18:21:10,1.31 req/s,0 req/s
2023-05-25 18:21:15,1.25 req/s,0 req/s
2023-05-25 18:21:20,1.13 req/s,0 req/s
2023-05-25 18:21:25,1.07 req/s,0 req/s
2023-05-25 18:21:30,0.964 req/s,0 req/s
2023-05-25 18:21:35,0.909 req/s,0 req/s
2023-05-25 18:21:40,0.836 req/s,0 req/s
2023-05-25 18:21:45,0.727 req/s,0 req/s
2023-05-25 18:21:50,0.636 req/s,0 req/s
2023-05-25 18:21:55,0.564 req/s,0 req/s
2023-05-25 18:22:00,0.564 req/s,0 req/s
2023-05-25 18:22:05,0.564 req/s,0 req/s
2023-05-25 18:22:10,0.564 req/s,0 req/s
2023-05-25 18:22:15,0.564 req/s,0 req/s
2023-05-25 18:22:20,0.564 req/s,0 req/s
2023-05-25 18:22:25,0.564 req/s,0 req/s
2023-05-25 18:22:30,0.564 req/s,0 req/s
2023-05-25 18:22:35,0.564 req/s,0 req/s
2023-05-25 18:22:40,0.564 req/s,0 req/s
2023-05-25 18:22:45,0.545 req/s,0 req/s
2023-05-25 18:22:50,0.582 req/s,0 req/s
2023-05-25 18:22:55,0.564 req/s,0 req/s
2023-05-25 18:23:00,0.582 req/s,0 req/s
2023-05-25 18:23:05,0.564 req/s,0 req/s
2023-05-25 18:23:10,0.564 req/s,0 req/s
2023-05-25 18:23:15,0.564 req/s,0 req/s
2023-05-25 18:23:20,0.545 req/s,0 req/s
2023-05-25 18:23:25,0.564 req/s,0 req/s
2023-05-25 18:23:30,0.564 req/s,0 req/s
2023-05-25 18:23:35,0.564 req/s,0 req/s
2023-05-25 18:23:40,0.582 req/s,0 req/s
2023-05-25 18:23:45,0.564 req/s,0 req/s
2023-05-25 18:23:50,0.564 req/s,0 req/s
2023-05-25 18:23:55,0.564 req/s,0 req/s
2023-05-25 18:24:00,0.564 req/s,0 req/s
2023-05-25 18:24:05,0.564 req/s,0 req/s
2023-05-25 18:24:10,0.564 req/s,0 req/s
2023-05-25 18:24:15,0.582 req/s,0 req/s
2023-05-25 18:24:20,0.527 req/s,0 req/s
2023-05-25 18:24:25,0.527 req/s,0 req/s
2023-05-25 18:24:30,0.509 req/s,0 req/s
2023-05-25 18:24:35,0.491 req/s,0 req/s
2023-05-25 18:24:40,0.473 req/s,0 req/s
2023-05-25 18:24:45,0.455 req/s,0 req/s
2023-05-25 18:24:50,0.418 req/s,0 req/s
2023-05-25 18:24:55,0.418 req/s,0 req/s
2023-05-25 18:25:00,0.400 req/s,0 req/s
2023-05-25 18:25:05,0.382 req/s,0 req/s
2023-05-25 18:25:10,0.364 req/s,0 req/s
2023-05-25 18:25:15,0.364 req/s,0 req/s
2023-05-25 18:25:20,0.364 req/s,0 req/s
2023-05-25 18:25:25,0.364 req/s,0 req/s
2023-05-25 18:25:30,0.364 req/s,0 req/s
2023-05-25 18:25:35,0.345 req/s,0 req/s
2023-05-25 18:25:40,0.345 req/s,0 req/s
2023-05-25 18:25:45,0.364 req/s,0 req/s
2023-05-25 18:25:50,0.364 req/s,0 req/s
2023-05-25 18:25:55,0.364 req/s,0 req/s
2023-05-25 18:26:00,0.364 req/s,0 req/s
2023-05-25 18:26:05,0.345 req/s,0 req/s
2023-05-25 18:26:10,0.364 req/s,0 req/s
2023-05-25 18:26:15,0.364 req/s,0 req/s
2023-05-25 18:26:20,0.364 req/s,0 req/s
2023-05-25 18:26:25,0.364 req/s,0 req/s
2023-05-25 18:26:30,0.364 req/s,0 req/s
2023-05-25 18:26:35,0.364 req/s,0 req/s
2023-05-25 18:26:40,0.364 req/s,0 req/s
2023-05-25 18:26:45,0.364 req/s,0 req/s
2023-05-25 18:26:50,0.364 req/s,0 req/s
2023-05-25 18:26:55,0.345 req/s,0 req/s
2023-05-25 18:27:00,0.364 req/s,0 req/s
