"Time","Timestamp","cpu_usage","memory_usage","bandwidth_inbound","bandwidth_outbound","tps","tps_error","response_time","Status"
"2023-05-25 18:13:15","1685013195000","1.000%","37.4%","5.63 MB/s","4.91 MB/s","0.236 req/s","0 req/s","136 ms","0"
"2023-05-25 18:13:20","1685013200000","1.000%","37.4%","5.59 MB/s","4.85 MB/s","0.236 req/s","0 req/s","137 ms","0"
"2023-05-25 18:13:25","1685013205000","1.00%","37.4%","5.60 MB/s","4.88 MB/s","0.218 req/s","0 req/s","73.4 ms","0"
"2023-05-25 18:13:30","1685013210000","0.400%","37.4%","5.60 MB/s","4.88 MB/s","0.218 req/s","0 req/s","72.7 ms","0"
"2023-05-25 18:13:35","1685013215000","25.2%","39.4%","10.5 GB/s","9.03 GB/s","0.455 req/s","0 req/s","730 ms","0"
"2023-05-25 18:13:40","1685013220000","21.8%","39.2%","14.3 GB/s","12.2 GB/s","0.618 req/s","0 req/s","672 ms","0"
"2023-05-25 18:13:45","1685013225000","23.0%","37.8%","3.80 GB/s","3.39 GB/s","0.818 req/s","0 req/s","735 ms","0"
"2023-05-25 18:13:50","1685013230000","15.4%","37.9%","10.2 GB/s","8.72 GB/s","0.982 req/s","0 req/s","656 ms","0"
"2023-05-25 18:13:55","1685013235000","22.0%","37.9%","3.26 GB/s","2.86 GB/s","1.11 req/s","0 req/s","698 ms","0"
"2023-05-25 18:14:00","1685013240000","29.0%","38.3%","8.97 GB/s","7.82 GB/s","1.31 req/s","0 req/s","766 ms","0"
"2023-05-25 18:14:05","1685013245000","28.4%","38.1%","5.02 GB/s","4.78 GB/s","1.49 req/s","0 req/s","802 ms","0"
"2023-05-25 18:14:10","1685013250000","25.8%","37.6%","7.18 GB/s","5.86 GB/s","1.65 req/s","0 req/s","790 ms","0"
"2023-05-25 18:14:15","1685013255000","11.0%","37.6%","3.05 GB/s","2.64 GB/s","1.84 req/s","0 req/s","754 ms","0"
"2023-05-25 18:14:20","1685013260000","27.4%","37.7%","20.3 GB/s","17.5 GB/s","2.02 req/s","0 req/s","722 ms","0"
"2023-05-25 18:14:25","1685013265000","15.0%","37.7%","8.02 GB/s","6.67 GB/s","2.18 req/s","0 req/s","701 ms","0"
"2023-05-25 18:14:30","1685013270000","31.6%","37.7%","15.5 GB/s","13.4 GB/s","2.11 req/s","0 req/s","652 ms","0"
"2023-05-25 18:14:35","1685013275000","24.2%","37.9%","8.46 GB/s","7.21 GB/s","2.11 req/s","0 req/s","648 ms","0"
"2023-05-25 18:14:40","1685013280000","24.8%","37.9%","12.8 GB/s","11.0 GB/s","2.05 req/s","0 req/s","634 ms","0"
"2023-05-25 18:14:45","1685013285000","26.2%","37.7%","8.35 GB/s","7.27 GB/s","2.07 req/s","0 req/s","695 ms","0"
"2023-05-25 18:14:50","1685013290000","30.6%","37.9%","8.97 GB/s","7.70 GB/s","2.13 req/s","0 req/s","671 ms","0"
"2023-05-25 18:14:55","1685013295000","14.2%","37.9%","7.90 GB/s","7.29 GB/s","2.09 req/s","0 req/s","596 ms","0"
"2023-05-25 18:15:00","1685013300000","19.0%","37.9%","14.6 GB/s","12.0 GB/s","2.05 req/s","0 req/s","553 ms","0"
"2023-05-25 18:15:05","1685013305000","37.2%","37.9%","12.0 GB/s","10.3 GB/s","2.07 req/s","0 req/s","606 ms","0"
"2023-05-25 18:15:10","1685013310000","29.0%","37.9%","7.77 GB/s","6.75 GB/s","2.05 req/s","0 req/s","661 ms","0"
"2023-05-25 18:15:15","1685013315000","29.4%","37.7%","9.23 GB/s","8.02 GB/s","2.04 req/s","0 req/s","726 ms","0"
"2023-05-25 18:15:20","1685013320000","28.8%","37.7%","9.11 GB/s","8.55 GB/s","2.07 req/s","0 req/s","750 ms","0"
"2023-05-25 18:15:25","1685013325000","22.0%","38.1%","12.7 GB/s","10.2 GB/s","2.07 req/s","0 req/s","732 ms","0"
"2023-05-25 18:15:30","1685013330000","24.0%","37.9%","14.3 GB/s","12.2 GB/s","2.04 req/s","0 req/s","731 ms","0"
"2023-05-25 18:15:35","1685013335000","19.8%","37.9%","5.45 GB/s","4.70 GB/s","2.09 req/s","0 req/s","716 ms","0"
"2023-05-25 18:15:40","1685013340000","24.6%","37.9%","11.2 GB/s","9.63 GB/s","2.07 req/s","0 req/s","714 ms","0"
"2023-05-25 18:15:45","1685013345000","31.8%","37.7%","3.56 GB/s","3.50 GB/s","2.07 req/s","0 req/s","771 ms","0"
"2023-05-25 18:15:50","1685013350000","30.0%","38.1%","8.92 GB/s","7.48 GB/s","2.05 req/s","0 req/s","822 ms","0"
"2023-05-25 18:15:55","1685013355000","28.8%","38.1%","8.08 GB/s","6.96 GB/s","2.11 req/s","0 req/s","832 ms","0"
"2023-05-25 18:16:00","1685013360000","17.2%","38.1%","8.01 GB/s","6.92 GB/s","2.05 req/s","0 req/s","778 ms","0"
"2023-05-25 18:16:05","1685013365000","30.4%","38.1%","13.7 GB/s","11.8 GB/s","2.11 req/s","0 req/s","755 ms","0"
"2023-05-25 18:16:10","1685013370000","23.8%","38.1%","13.6 GB/s","11.6 GB/s","2.05 req/s","0 req/s","710 ms","0"
"2023-05-25 18:16:15","1685013375000","31.0%","38.1%","8.68 GB/s","7.58 GB/s","2.05 req/s","0 req/s","746 ms","0"
"2023-05-25 18:16:20","1685013380000","28.6%","38.1%","1.84 GB/s","1.78 GB/s","2 req/s","0 req/s","815 ms","0"
"2023-05-25 18:16:25","1685013385000","19.8%","38.1%","3.38 GB/s","2.96 GB/s","1.98 req/s","0 req/s","849 ms","0"
"2023-05-25 18:16:30","1685013390000","18.0%","38.1%","5.62 GB/s","4.90 GB/s","1.87 req/s","0 req/s","868 ms","0"
"2023-05-25 18:16:35","1685013395000","28.0%","38.1%","3.85 GB/s","3.46 GB/s","1.80 req/s","0 req/s","905 ms","0"
"2023-05-25 18:16:40","1685013400000","28.8%","38.1%","8.42 GB/s","7.33 GB/s","1.78 req/s","0 req/s","879 ms","0"
"2023-05-25 18:16:45","1685013405000","14.2%","38.1%","5.63 GB/s","4.76 GB/s","1.71 req/s","0 req/s","872 ms","0"
"2023-05-25 18:16:50","1685013410000","29.2%","38.1%","9.16 GB/s","7.97 GB/s","1.65 req/s","0 req/s","911 ms","0"
"2023-05-25 18:16:55","1685013415000","11.4%","38.1%","3.01 GB/s","2.54 GB/s","1.64 req/s","0 req/s","890 ms","0"
"2023-05-25 18:17:00","1685013420000","15.2%","38.1%","6.15 GB/s","5.99 GB/s","1.55 req/s","0 req/s","877 ms","0"
"2023-05-25 18:17:05","1685013425000","24.0%","38.1%","12.1 GB/s","10.0 GB/s","1.51 req/s","0 req/s","919 ms","0"
"2023-05-25 18:17:10","1685013430000","20.6%","38.1%","6.52 GB/s","5.23 GB/s","1.42 req/s","0 req/s","882 ms","0"
"2023-05-25 18:17:15","1685013435000","20.2%","38.1%","3.30 GB/s","2.94 GB/s","1.42 req/s","0 req/s","814 ms","0"
"2023-05-25 18:17:20","1685013440000","15.4%","38.1%","3.93 GB/s","4.20 GB/s","1.42 req/s","0 req/s","815 ms","0"
"2023-05-25 18:17:25","1685013445000","21.8%","38.1%","9.94 GB/s","7.79 GB/s","1.42 req/s","0 req/s","816 ms","0"
"2023-05-25 18:17:30","1685013450000","21.2%","38.1%","3.40 GB/s","3.02 GB/s","1.47 req/s","0 req/s","791 ms","0"
"2023-05-25 18:17:35","1685013455000","20.8%","38.1%","1.14 GB/s","1.16 GB/s","1.42 req/s","0 req/s","803 ms","0"
"2023-05-25 18:17:40","1685013460000","17.4%","37.9%","10.3 GB/s","8.73 GB/s","1.45 req/s","0 req/s","783 ms","0"
"2023-05-25 18:17:45","1685013465000","22.0%","37.9%","1.19 GB/s","1.18 GB/s","1.42 req/s","0 req/s","776 ms","0"
"2023-05-25 18:17:50","1685013470000","12.2%","37.9%","3.31 GB/s","2.85 GB/s","1.44 req/s","0 req/s","798 ms","0"
"2023-05-25 18:17:55","1685013475000","17.2%","37.9%","3.48 GB/s","3.05 GB/s","1.42 req/s","0 req/s","822 ms","0"
"2023-05-25 18:18:00","1685013480000","13.6%","37.9%","5.26 GB/s","4.51 GB/s","1.45 req/s","0 req/s","779 ms","0"
"2023-05-25 18:18:05","1685013485000","9.20%","37.9%","4.95 GB/s","4.24 GB/s","1.45 req/s","0 req/s","750 ms","0"
"2023-05-25 18:18:10","1685013490000","22.4%","37.9%","7.76 GB/s","6.93 GB/s","1.45 req/s","0 req/s","735 ms","0"
"2023-05-25 18:18:15","1685013495000","18.4%","37.9%","4.03 GB/s","3.30 GB/s","1.47 req/s","0 req/s","735 ms","0"
"2023-05-25 18:18:20","1685013500000","12.8%","37.9%","726 MB/s","739 MB/s","1.47 req/s","0 req/s","749 ms","0"
"2023-05-25 18:18:25","1685013505000","25.0%","37.9%","6.80 GB/s","6.09 GB/s","1.44 req/s","0 req/s","723 ms","0"
"2023-05-25 18:18:30","1685013510000","25.6%","37.9%","9.42 GB/s","8.41 GB/s","1.45 req/s","0 req/s","696 ms","0"
"2023-05-25 18:18:35","1685013515000","15.2%","37.9%","4.37 GB/s","3.26 GB/s","1.47 req/s","0 req/s","709 ms","0"
"2023-05-25 18:18:40","1685013520000","11.8%","38.1%","5.39 GB/s","4.60 GB/s","1.47 req/s","0 req/s","662 ms","0"
"2023-05-25 18:18:45","1685013525000","11.4%","38.1%","5.84 GB/s","5.01 GB/s","1.45 req/s","0 req/s","654 ms","0"
"2023-05-25 18:18:50","1685013530000","22.8%","38.1%","8.55 GB/s","7.36 GB/s","1.44 req/s","0 req/s","646 ms","0"
"2023-05-25 18:18:55","1685013535000","25.0%","38.1%","7.35 GB/s","6.86 GB/s","1.45 req/s","0 req/s","674 ms","0"
"2023-05-25 18:19:00","1685013540000","17.8%","38.1%","5.23 GB/s","4.05 GB/s","1.45 req/s","0 req/s","722 ms","0"
"2023-05-25 18:19:05","1685013545000","19.8%","38.1%","6.36 GB/s","5.49 GB/s","1.45 req/s","0 req/s","711 ms","0"
"2023-05-25 18:19:10","1685013550000","18.0%","38.1%","12.0 GB/s","10.3 GB/s","1.44 req/s","0 req/s","674 ms","0"
"2023-05-25 18:19:15","1685013555000","11.6%","38.1%","9.96 GB/s","8.40 GB/s","1.47 req/s","0 req/s","613 ms","0"
"2023-05-25 18:19:20","1685013560000","9.40%","37.7%","5.18 GB/s","4.43 GB/s","1.47 req/s","0 req/s","564 ms","0"
"2023-05-25 18:19:25","1685013565000","13.2%","37.7%","7.23 GB/s","6.18 GB/s","1.45 req/s","0 req/s","532 ms","0"
"2023-05-25 18:19:30","1685013570000","20.0%","37.7%","3.30 GB/s","2.90 GB/s","1.42 req/s","0 req/s","518 ms","0"
"2023-05-25 18:19:35","1685013575000","16.6%","37.7%","7.53 GB/s","6.43 GB/s","1.45 req/s","0 req/s","522 ms","0"
"2023-05-25 18:19:40","1685013580000","6.20%","37.7%","2.59 GB/s","2.22 GB/s","1.45 req/s","0 req/s","515 ms","0"
"2023-05-25 18:19:45","1685013585000","10.2%","37.7%","5.99 GB/s","5.12 GB/s","1.45 req/s","0 req/s","499 ms","0"
"2023-05-25 18:19:50","1685013590000","27.4%","37.9%","6.00 GB/s","5.25 GB/s","1.45 req/s","0 req/s","517 ms","0"
"2023-05-25 18:19:55","1685013595000","19.8%","37.9%","5.29 GB/s","4.79 GB/s","1.47 req/s","0 req/s","470 ms","0"
"2023-05-25 18:20:00","1685013600000","7.20%","37.9%","5.96 GB/s","4.82 GB/s","1.45 req/s","0 req/s","427 ms","0"
"2023-05-25 18:20:05","1685013605000","22.2%","38.3%","7.89 GB/s","6.80 GB/s","1.42 req/s","0 req/s","470 ms","0"
"2023-05-25 18:20:10","1685013610000","31.4%","38.3%","8.23 GB/s","7.07 GB/s","1.44 req/s","0 req/s","555 ms","0"
"2023-05-25 18:20:15","1685013615000","17.2%","38.3%","5.63 GB/s","4.89 GB/s","1.42 req/s","0 req/s","608 ms","0"
"2023-05-25 18:20:20","1685013620000","29.8%","38.3%","6.53 GB/s","5.69 GB/s","1.40 req/s","0 req/s","665 ms","0"
"2023-05-25 18:20:25","1685013625000","29.0%","38.1%","9.12 GB/s","7.86 GB/s","1.47 req/s","0 req/s","711 ms","0"
"2023-05-25 18:20:30","1685013630000","13.6%","38.1%","8.26 GB/s","7.07 GB/s","1.42 req/s","0 req/s","725 ms","0"
"2023-05-25 18:20:35","1685013635000","16.0%","38.5%","5.36 GB/s","4.60 GB/s","1.45 req/s","0 req/s","741 ms","0"
"2023-05-25 18:20:40","1685013640000","23.8%","38.1%","3.01 GB/s","2.69 GB/s","1.45 req/s","0 req/s","787 ms","0"
"2023-05-25 18:20:45","1685013645000","32.0%","38.1%","6.33 GB/s","5.51 GB/s","1.42 req/s","0 req/s","796 ms","0"
"2023-05-25 18:20:50","1685013650000","27.0%","38.1%","6.26 GB/s","5.41 GB/s","1.44 req/s","0 req/s","842 ms","0"
"2023-05-25 18:20:55","1685013655000","14.6%","38.1%","5.69 GB/s","4.87 GB/s","1.45 req/s","0 req/s","846 ms","0"
"2023-05-25 18:21:00","1685013660000","16.2%","38.1%","5.71 GB/s","4.94 GB/s","1.47 req/s","0 req/s","827 ms","0"
"2023-05-25 18:21:05","1685013665000","10.6%","38.1%","5.14 GB/s","4.36 GB/s","1.38 req/s","0 req/s","777 ms","0"
