"Time","bandwidth_inbound","bandwidth_outbound"
2023-05-25 18:21:45,418 MB/s,404 MB/s
2023-05-25 18:21:50,26.1 MB/s,22.6 MB/s
2023-05-25 18:21:55,219 MB/s,212 MB/s
2023-05-25 18:22:00,471 MB/s,455 MB/s
2023-05-25 18:22:05,20.2 MB/s,17.6 MB/s
2023-05-25 18:22:10,443 MB/s,427 MB/s
2023-05-25 18:22:15,433 MB/s,420 MB/s
2023-05-25 18:22:20,17.0 MB/s,14.9 MB/s
2023-05-25 18:22:25,96.9 MB/s,93.3 MB/s
2023-05-25 18:22:30,2.90 GB/s,2.50 GB/s
2023-05-25 18:22:35,2.20 GB/s,1.87 GB/s
2023-05-25 18:22:40,2.47 GB/s,2.12 GB/s
2023-05-25 18:22:45,56.0 MB/s,80.3 MB/s
2023-05-25 18:22:50,2.96 GB/s,2.54 GB/s
2023-05-25 18:22:55,20.9 MB/s,18.1 MB/s
2023-05-25 18:23:00,2.43 GB/s,2.07 GB/s
2023-05-25 18:23:05,2.46 GB/s,2.09 GB/s
2023-05-25 18:23:10,194 MB/s,221 MB/s
2023-05-25 18:23:15,341 MB/s,297 MB/s
2023-05-25 18:23:20,2.68 GB/s,2.28 GB/s
2023-05-25 18:23:25,701 MB/s,678 MB/s
2023-05-25 18:23:30,5.63 GB/s,4.79 GB/s
2023-05-25 18:23:35,2.99 GB/s,2.58 GB/s
2023-05-25 18:23:40,28.4 MB/s,24.6 MB/s
2023-05-25 18:23:45,10.2 MB/s,8.85 MB/s
2023-05-25 18:23:50,2.56 GB/s,2.18 GB/s
2023-05-25 18:23:55,237 MB/s,271 MB/s
2023-05-25 18:24:00,439 MB/s,421 MB/s
2023-05-25 18:24:05,4.39 GB/s,4.08 GB/s
2023-05-25 18:24:10,1.23 GB/s,717 MB/s
2023-05-25 18:24:15,1.44 GB/s,1.68 GB/s
2023-05-25 18:24:20,1.18 GB/s,594 MB/s
2023-05-25 18:24:25,292 MB/s,282 MB/s
2023-05-25 18:24:30,10.7 MB/s,9.26 MB/s
2023-05-25 18:24:35,2.73 GB/s,2.32 GB/s
2023-05-25 18:24:40,1.24 GB/s,1.60 GB/s
2023-05-25 18:24:45,1.58 GB/s,792 MB/s
2023-05-25 18:24:50,2.78 GB/s,2.37 GB/s
2023-05-25 18:24:55,2.55 GB/s,2.17 GB/s
2023-05-25 18:25:00,17.2 MB/s,14.8 MB/s
2023-05-25 18:25:05,19.5 MB/s,16.8 MB/s
2023-05-25 18:25:10,5.56 MB/s,4.83 MB/s
2023-05-25 18:25:15,143 MB/s,139 MB/s
2023-05-25 18:25:20,2.72 GB/s,2.31 GB/s
2023-05-25 18:25:25,2.65 GB/s,2.26 GB/s
2023-05-25 18:25:30,158 MB/s,155 MB/s
2023-05-25 18:25:35,181 MB/s,150 MB/s
2023-05-25 18:25:40,460 MB/s,447 MB/s
2023-05-25 18:25:45,436 MB/s,424 MB/s
2023-05-25 18:25:50,133 MB/s,129 MB/s
2023-05-25 18:25:55,144 MB/s,161 MB/s
2023-05-25 18:26:00,99.4 MB/s,73.8 MB/s
2023-05-25 18:26:05,8.13 MB/s,7.10 MB/s
2023-05-25 18:26:10,434 MB/s,423 MB/s
2023-05-25 18:26:15,2.79 GB/s,2.38 GB/s
2023-05-25 18:26:20,2.44 GB/s,2.07 GB/s
2023-05-25 18:26:25,6.04 MB/s,5.82 MB/s
2023-05-25 18:26:30,14.9 MB/s,12.8 MB/s
2023-05-25 18:26:35,213 MB/s,206 MB/s
2023-05-25 18:26:40,2.50 GB/s,2.12 GB/s
2023-05-25 18:26:45,199 MB/s,226 MB/s
2023-05-25 18:26:50,543 MB/s,883 MB/s
2023-05-25 18:26:55,2.41 GB/s,1.62 GB/s
2023-05-25 18:27:00,409 MB/s,396 MB/s
2023-05-25 18:27:05,2.49 GB/s,2.11 GB/s
2023-05-25 18:27:10,180 MB/s,174 MB/s
2023-05-25 18:27:15,1.52 GB/s,1.66 GB/s
