"Time","memory_usage"
2023-05-25 18:13:15,37.4%
2023-05-25 18:13:20,37.4%
2023-05-25 18:13:25,37.4%
2023-05-25 18:13:30,37.4%
2023-05-25 18:13:35,39.4%
2023-05-25 18:13:40,39.2%
2023-05-25 18:13:45,37.8%
2023-05-25 18:13:50,37.9%
2023-05-25 18:13:55,37.9%
2023-05-25 18:14:00,38.3%
2023-05-25 18:14:05,38.1%
2023-05-25 18:14:10,37.6%
2023-05-25 18:14:15,37.6%
2023-05-25 18:14:20,37.7%
2023-05-25 18:14:25,37.7%
2023-05-25 18:14:30,37.7%
2023-05-25 18:14:35,37.9%
2023-05-25 18:14:40,37.9%
2023-05-25 18:14:45,37.7%
2023-05-25 18:14:50,37.9%
2023-05-25 18:14:55,37.9%
2023-05-25 18:15:00,37.9%
2023-05-25 18:15:05,37.9%
2023-05-25 18:15:10,37.9%
2023-05-25 18:15:15,37.7%
2023-05-25 18:15:20,37.7%
2023-05-25 18:15:25,38.1%
2023-05-25 18:15:30,37.9%
2023-05-25 18:15:35,37.9%
2023-05-25 18:15:40,37.9%
2023-05-25 18:15:45,37.7%
2023-05-25 18:15:50,38.1%
2023-05-25 18:15:55,38.1%
2023-05-25 18:16:00,38.1%
2023-05-25 18:16:05,38.1%
2023-05-25 18:16:10,38.1%
2023-05-25 18:16:15,38.1%
2023-05-25 18:16:20,38.1%
2023-05-25 18:16:25,38.1%
2023-05-25 18:16:30,38.1%
2023-05-25 18:16:35,38.1%
2023-05-25 18:16:40,38.1%
2023-05-25 18:16:45,38.1%
2023-05-25 18:16:50,38.1%
2023-05-25 18:16:55,38.1%
2023-05-25 18:17:00,38.1%
2023-05-25 18:17:05,38.1%
2023-05-25 18:17:10,38.1%
2023-05-25 18:17:15,38.1%
2023-05-25 18:17:20,38.1%
2023-05-25 18:17:25,38.1%
2023-05-25 18:17:30,38.1%
2023-05-25 18:17:35,38.1%
2023-05-25 18:17:40,37.9%
2023-05-25 18:17:45,37.9%
2023-05-25 18:17:50,37.9%
2023-05-25 18:17:55,37.9%
2023-05-25 18:18:00,37.9%
2023-05-25 18:18:05,37.9%
2023-05-25 18:18:10,37.9%
2023-05-25 18:18:15,37.9%
