"Time","response_time"
2023-09-08 01:16:00,607 ms
2023-09-08 01:16:05,2.09 s
2023-09-08 01:16:10,3.45 s
2023-09-08 01:16:15,2.58 s
2023-09-08 01:16:20,862 ms
2023-09-08 01:16:25,503 ms
2023-09-08 01:16:30,1.10 s
2023-09-08 01:16:35,1.03 s
2023-09-08 01:16:40,474 ms
2023-09-08 01:16:45,1.61 s
2023-09-08 01:16:50,1.44 s
2023-09-08 01:16:55,1.55 s
2023-09-08 01:17:00,885 ms
2023-09-08 01:17:05,413 ms
2023-09-08 01:17:10,990 ms
2023-09-08 01:17:15,912 ms
2023-09-08 01:17:20,1.19 s
2023-09-08 01:17:25,1.51 s
2023-09-08 01:17:30,1.05 s
2023-09-08 01:17:35,745 ms
2023-09-08 01:17:40,509 ms
2023-09-08 01:17:45,994 ms
2023-09-08 01:17:50,2.14 s
2023-09-08 01:17:55,792 ms
2023-09-08 01:18:00,684 ms
2023-09-08 01:18:05,438 ms
2023-09-08 01:18:10,2.79 s
2023-09-08 01:18:15,2.05 s
2023-09-08 01:18:20,720 ms
2023-09-08 01:18:25,388 ms
2023-09-08 01:18:30,1.12 s
2023-09-08 01:18:35,871 ms
2023-09-08 01:18:40,627 ms
2023-09-08 01:18:45,426 ms
2023-09-08 01:18:50,2.10 s
2023-09-08 01:18:55,270 ms
2023-09-08 01:19:00,677 ms
2023-09-08 01:19:05,968 ms
2023-09-08 01:19:10,823 ms
2023-09-08 01:19:15,1.07 s
2023-09-08 01:19:20,1.37 s
2023-09-08 01:19:25,983 ms
2023-09-08 01:19:30,2.48 s
2023-09-08 01:19:35,1.50 s
2023-09-08 01:19:40,1.43 s
2023-09-08 01:19:45,1.43 s
2023-09-08 01:19:50,532 ms
2023-09-08 01:19:55,462 ms
2023-09-08 01:20:00,970 ms
2023-09-08 01:20:05,1.68 s
2023-09-08 01:20:10,2.11 s
2023-09-08 01:20:15,2.39 s
2023-09-08 01:20:20,1.17 s
2023-09-08 01:20:25,567 ms
2023-09-08 01:20:30,648 ms
2023-09-08 01:20:35,708 ms
2023-09-08 01:20:40,629 ms
2023-09-08 01:20:45,1.28 s
2023-09-08 01:20:50,910 ms
2023-09-08 01:20:55,746 ms
2023-09-08 01:21:00,528 ms
2023-09-08 01:21:05,812 ms
2023-09-08 01:21:10,2.30 s
2023-09-08 01:21:15,2.98 s
2023-09-08 01:21:20,2.05 s
2023-09-08 01:21:25,1.48 s
2023-09-08 01:21:30,947 ms
2023-09-08 01:21:35,1.02 s
2023-09-08 01:21:40,2.47 s
2023-09-08 01:21:45,1.84 s
2023-09-08 01:21:50,2.45 s
2023-09-08 01:21:55,3.62 s
2023-09-08 01:22:00,2.33 s
2023-09-08 01:22:05,2.19 s
2023-09-08 01:22:10,397 ms
2023-09-08 01:22:15,625 ms
2023-09-08 01:22:20,1.55 s
2023-09-08 01:22:25,814 ms
2023-09-08 01:22:30,815 ms
2023-09-08 01:22:35,825 ms
2023-09-08 01:22:40,871 ms
2023-09-08 01:22:45,663 ms
2023-09-08 01:22:50,1.98 s
2023-09-08 01:22:55,1.37 s
2023-09-08 01:23:00,846 ms
2023-09-08 01:23:05,613 ms
2023-09-08 01:23:10,464 ms
2023-09-08 01:23:15,630 ms
2023-09-08 01:23:20,377 ms
2023-09-08 01:23:25,373 ms
2023-09-08 01:23:30,682 ms
2023-09-08 01:23:35,871 ms
2023-09-08 01:23:40,1.08 s
2023-09-08 01:23:45,440 ms
2023-09-08 01:23:50,635 ms
2023-09-08 01:23:55,2.15 s
2023-09-08 01:24:00,1.59 s
2023-09-08 01:24:05,701 ms
2023-09-08 01:24:10,893 ms
2023-09-08 01:24:15,1.89 s
2023-09-08 01:24:20,1.87 s
2023-09-08 01:24:25,702 ms
2023-09-08 01:24:30,306 ms
2023-09-08 01:24:35,435 ms
2023-09-08 01:24:40,1.97 s
2023-09-08 01:24:45,2.14 s
2023-09-08 01:24:50,1.78 s
2023-09-08 01:24:55,261 ms
2023-09-08 01:25:00,786 ms
2023-09-08 01:25:05,1.18 s
2023-09-08 01:25:10,1.52 s
2023-09-08 01:25:15,3.16 s
2023-09-08 01:25:20,4.23 s
2023-09-08 01:25:25,2.18 s
2023-09-08 01:25:30,653 ms
2023-09-08 01:25:35,774 ms
2023-09-08 01:25:40,1.10 s
2023-09-08 01:25:45,687 ms
2023-09-08 01:25:50,2.13 s
2023-09-08 01:25:55,734 ms
2023-09-08 01:26:00,459 ms
2023-09-08 01:26:05,476 ms
2023-09-08 01:26:10,1.29 s
2023-09-08 01:26:15,1.59 s
2023-09-08 01:26:20,1.31 s
2023-09-08 01:26:25,836 ms
2023-09-08 01:26:30,968 ms
2023-09-08 01:26:35,1.76 s
2023-09-08 01:26:40,654 ms
2023-09-08 01:26:45,967 ms
2023-09-08 01:26:50,1.75 s
2023-09-08 01:26:55,2.26 s
2023-09-08 01:27:00,2.01 s
2023-09-08 01:27:05,2.46 s
2023-09-08 01:27:10,3.44 s
2023-09-08 01:27:15,2.29 s
2023-09-08 01:27:20,501 ms
2023-09-08 01:27:25,1.34 s
2023-09-08 01:27:30,547 ms
2023-09-08 01:27:35,427 ms
2023-09-08 01:27:40,1.10 s
2023-09-08 01:27:45,517 ms
2023-09-08 01:27:50,854 ms
2023-09-08 01:27:55,977 ms
2023-09-08 01:28:00,1.26 s
2023-09-08 01:28:05,1.21 s
2023-09-08 01:28:10,911 ms
2023-09-08 01:28:15,1.90 s
2023-09-08 01:28:20,1.01 s
2023-09-08 01:28:25,526 ms
2023-09-08 01:28:30,498 ms
2023-09-08 01:28:35,671 ms
2023-09-08 01:28:40,1.28 s
2023-09-08 01:28:45,1.28 s
2023-09-08 01:28:50,523 ms
2023-09-08 01:28:55,1.32 s
2023-09-08 01:29:00,409 ms
2023-09-08 01:29:05,315 ms
2023-09-08 01:29:10,1.44 s
2023-09-08 01:29:15,608 ms
2023-09-08 01:29:20,432 ms
2023-09-08 01:29:25,1.02 s
2023-09-08 01:29:30,2.01 s
2023-09-08 01:29:35,2.24 s
2023-09-08 01:29:40,711 ms
2023-09-08 01:29:45,2.97 s
2023-09-08 01:29:50,2.18 s
2023-09-08 01:29:55,2.95 s
2023-09-08 01:30:00,684 ms
2023-09-08 01:30:05,398 ms
2023-09-08 01:30:10,1.24 s
2023-09-08 01:30:15,466 ms
2023-09-08 01:30:20,1.37 s
2023-09-08 01:30:25,4.31 s
2023-09-08 01:30:30,3.96 s
2023-09-08 01:30:35,2.99 s
2023-09-08 01:30:40,1.40 s
2023-09-08 01:30:45,896 ms
2023-09-08 01:30:50,1.00 s
2023-09-08 01:30:55,769 ms
2023-09-08 01:31:00,493 ms
2023-09-08 01:31:05,639 ms
2023-09-08 01:31:10,1.01 s
2023-09-08 01:31:15,631 ms
2023-09-08 01:31:20,707 ms
2023-09-08 01:31:25,759 ms
2023-09-08 01:31:30,386 ms
2023-09-08 01:31:35,1.16 s
2023-09-08 01:31:40,1.02 s
2023-09-08 01:31:45,2.06 s
2023-09-08 01:31:50,561 ms
2023-09-08 01:31:55,542 ms
2023-09-08 01:32:00,1.09 s
2023-09-08 01:32:05,1.17 s
2023-09-08 01:32:10,617 ms
2023-09-08 01:32:15,894 ms
2023-09-08 01:32:20,1.11 s
2023-09-08 01:32:25,1.36 s
2023-09-08 01:32:30,724 ms
2023-09-08 01:32:35,538 ms
2023-09-08 01:32:40,1.28 s
2023-09-08 01:32:45,923 ms
2023-09-08 01:32:50,747 ms
2023-09-08 01:32:55,1.13 s
2023-09-08 01:33:00,568 ms
2023-09-08 01:33:05,489 ms
2023-09-08 01:33:10,940 ms
2023-09-08 01:33:15,1.40 s
2023-09-08 01:33:20,612 ms
2023-09-08 01:33:25,846 ms
2023-09-08 01:33:30,677 ms
2023-09-08 01:33:35,1.30 s
2023-09-08 01:33:40,712 ms
2023-09-08 01:33:45,399 ms
2023-09-08 01:33:50,746 ms
2023-09-08 01:33:55,1.15 s
2023-09-08 01:34:00,457 ms
2023-09-08 01:34:05,563 ms
2023-09-08 01:34:10,696 ms
2023-09-08 01:34:15,193 ms
2023-09-08 01:34:20,1.13 s
2023-09-08 01:34:25,1.48 s
2023-09-08 01:34:30,1.62 s
2023-09-08 01:34:35,895 ms
2023-09-08 01:34:40,795 ms
2023-09-08 01:34:45,524 ms
2023-09-08 01:34:50,757 ms
2023-09-08 01:34:55,680 ms
2023-09-08 01:35:00,988 ms
2023-09-08 01:35:05,1.15 s
2023-09-08 01:35:10,3.05 s
2023-09-08 01:35:15,2.31 s
2023-09-08 01:35:20,758 ms
2023-09-08 01:35:25,1.03 s
2023-09-08 01:35:30,666 ms
2023-09-08 01:35:35,851 ms
2023-09-08 01:35:40,1.62 s
2023-09-08 01:35:45,1.49 s
2023-09-08 01:35:50,2.40 s
2023-09-08 01:35:55,450 ms
2023-09-08 01:36:00,1.01 s
2023-09-08 01:36:05,1.12 s
2023-09-08 01:36:10,285 ms
2023-09-08 01:36:15,814 ms
2023-09-08 01:36:20,971 ms
2023-09-08 01:36:25,632 ms
2023-09-08 01:36:30,780 ms
2023-09-08 01:36:35,421 ms
2023-09-08 01:36:40,1.08 s
2023-09-08 01:36:45,890 ms
2023-09-08 01:36:50,2.14 s
2023-09-08 01:36:55,1.25 s
2023-09-08 01:37:00,698 ms
2023-09-08 01:37:05,1.26 s
2023-09-08 01:37:10,908 ms
2023-09-08 01:37:15,1.41 s
2023-09-08 01:37:20,889 ms
2023-09-08 01:37:25,727 ms
2023-09-08 01:37:30,712 ms
2023-09-08 01:37:35,657 ms
2023-09-08 01:37:40,845 ms
2023-09-08 01:37:45,806 ms
2023-09-08 01:37:50,394 ms
2023-09-08 01:37:55,715 ms
2023-09-08 01:38:00,1.56 s
2023-09-08 01:38:05,836 ms
2023-09-08 01:38:10,504 ms
2023-09-08 01:38:15,868 ms
2023-09-08 01:38:20,650 ms
2023-09-08 01:38:25,877 ms
2023-09-08 01:38:30,998 ms
2023-09-08 01:38:35,485 ms
2023-09-08 01:38:40,770 ms
2023-09-08 01:38:45,640 ms
2023-09-08 01:38:50,278 ms
2023-09-08 01:38:55,868 ms
2023-09-08 01:39:00,1.02 s
2023-09-08 01:39:05,1.81 s
2023-09-08 01:39:10,2.37 s
2023-09-08 01:39:15,2.35 s
2023-09-08 01:39:20,2.35 s
2023-09-08 01:39:25,1.59 s
2023-09-08 01:39:30,547 ms
2023-09-08 01:39:35,755 ms
2023-09-08 01:39:40,1.33 s
2023-09-08 01:39:45,1.87 s
2023-09-08 01:39:50,1.50 s
2023-09-08 01:39:55,1.06 s
2023-09-08 01:40:00,1.04 s
2023-09-08 01:40:05,1.94 s
2023-09-08 01:40:10,2.22 s
2023-09-08 01:40:15,3.44 s
2023-09-08 01:40:20,1.97 s
2023-09-08 01:40:25,633 ms
2023-09-08 01:40:30,905 ms
2023-09-08 01:40:35,1.54 s
2023-09-08 01:40:40,1.05 s
2023-09-08 01:40:45,692 ms
2023-09-08 01:40:50,819 ms
2023-09-08 01:40:55,1.81 s
2023-09-08 01:41:00,1.01 s
2023-09-08 01:41:05,596 ms
2023-09-08 01:41:10,1.02 s
2023-09-08 01:41:15,1.67 s
2023-09-08 01:41:20,1.65 s
2023-09-08 01:41:25,992 ms
2023-09-08 01:41:30,1.16 s
2023-09-08 01:41:35,775 ms
2023-09-08 01:41:40,1.68 s
2023-09-08 01:41:45,1.01 s
2023-09-08 01:41:50,539 ms
2023-09-08 01:41:55,1.02 s
2023-09-08 01:42:00,213 ms
2023-09-08 01:42:05,551 ms
2023-09-08 01:42:10,986 ms
2023-09-08 01:42:15,1.09 s
2023-09-08 01:42:20,870 ms
2023-09-08 01:42:25,877 ms
2023-09-08 01:42:30,1.57 s
2023-09-08 01:42:35,1.71 s
2023-09-08 01:42:40,1.45 s
2023-09-08 01:42:45,1.42 s
2023-09-08 01:42:50,2.75 s
2023-09-08 01:42:55,2.96 s
2023-09-08 01:43:00,3.99 s
2023-09-08 01:43:05,4.06 s
2023-09-08 01:43:10,7.10 s
2023-09-08 01:43:15,2.28 s
2023-09-08 01:43:20,440 ms
2023-09-08 01:43:25,1.05 s
2023-09-08 01:43:30,1.14 s
2023-09-08 01:43:35,405 ms
2023-09-08 01:43:40,732 ms
2023-09-08 01:43:45,800 ms
2023-09-08 01:43:50,1.28 s
2023-09-08 01:43:55,2.00 s
2023-09-08 01:44:00,1.22 s
2023-09-08 01:44:05,447 ms
2023-09-08 01:44:10,995 ms
2023-09-08 01:44:15,530 ms
2023-09-08 01:44:20,1.36 s
2023-09-08 01:44:25,1.26 s
2023-09-08 01:44:30,809 ms
2023-09-08 01:44:35,1.55 s
2023-09-08 01:44:40,1.33 s
2023-09-08 01:44:45,470 ms
2023-09-08 01:44:50,656 ms
2023-09-08 01:44:55,1.06 s
2023-09-08 01:45:00,2.12 s
2023-09-08 01:45:05,775 ms
2023-09-08 01:45:10,1.27 s
2023-09-08 01:45:15,1.04 s
2023-09-08 01:45:20,651 ms
