"Time","bandwidth_inbound","bandwidth_outbound"
2023-09-08 01:16:00,7.46 GB/s,6.45 GB/s
2023-09-08 01:16:05,5.85 GB/s,5.27 GB/s
2023-09-08 01:16:10,9.06 GB/s,7.96 GB/s
2023-09-08 01:16:15,8.41 GB/s,7.21 GB/s
2023-09-08 01:16:20,4.88 GB/s,4.30 GB/s
2023-09-08 01:16:25,6.88 GB/s,5.91 GB/s
2023-09-08 01:16:30,6.38 GB/s,5.66 GB/s
2023-09-08 01:16:35,2.95 GB/s,2.64 GB/s
2023-09-08 01:16:40,2.44 GB/s,2.78 GB/s
2023-09-08 01:16:45,5.29 GB/s,3.99 GB/s
2023-09-08 01:16:50,7.62 GB/s,6.91 GB/s
2023-09-08 01:16:55,5.99 GB/s,5.33 GB/s
2023-09-08 01:17:00,11.8 GB/s,10.2 GB/s
2023-09-08 01:17:05,3.99 GB/s,3.41 GB/s
2023-09-08 01:17:10,10.7 GB/s,9.21 GB/s
2023-09-08 01:17:15,5.54 GB/s,4.96 GB/s
2023-09-08 01:17:20,5.28 GB/s,4.72 GB/s
2023-09-08 01:17:25,5.28 GB/s,4.74 GB/s
2023-09-08 01:17:30,6.58 GB/s,5.78 GB/s
2023-09-08 01:17:35,6.99 GB/s,6.19 GB/s
2023-09-08 01:17:40,1.83 GB/s,1.59 GB/s
2023-09-08 01:17:45,7.97 GB/s,6.86 GB/s
2023-09-08 01:17:50,6.75 GB/s,6.00 GB/s
2023-09-08 01:17:55,6.23 GB/s,5.87 GB/s
2023-09-08 01:18:00,4.79 GB/s,4.25 GB/s
2023-09-08 01:18:05,3.21 GB/s,2.80 GB/s
2023-09-08 01:18:10,11.7 GB/s,10.3 GB/s
2023-09-08 01:18:15,4.64 GB/s,4.66 GB/s
2023-09-08 01:18:20,12.6 GB/s,10.3 GB/s
2023-09-08 01:18:25,1.08 GB/s,972 MB/s
2023-09-08 01:18:30,3.23 GB/s,2.93 GB/s
2023-09-08 01:18:35,4.95 GB/s,4.40 GB/s
2023-09-08 01:18:40,4.39 GB/s,3.86 GB/s
2023-09-08 01:18:45,3.12 GB/s,2.70 GB/s
2023-09-08 01:18:50,3.67 GB/s,3.47 GB/s
2023-09-08 01:18:55,2.54 GB/s,2.19 GB/s
2023-09-08 01:19:00,5.79 GB/s,5.03 GB/s
2023-09-08 01:19:05,8.30 GB/s,7.27 GB/s
2023-09-08 01:19:10,10.4 GB/s,9.07 GB/s
2023-09-08 01:19:15,17.2 GB/s,15.0 GB/s
2023-09-08 01:19:20,7.41 GB/s,6.42 GB/s
2023-09-08 01:19:25,14.8 GB/s,13.1 GB/s
2023-09-08 01:19:30,9.64 GB/s,8.50 GB/s
2023-09-08 01:19:35,8.21 GB/s,7.22 GB/s
2023-09-08 01:19:40,3.54 GB/s,3.15 GB/s
2023-09-08 01:19:45,6.87 GB/s,6.12 GB/s
2023-09-08 01:19:50,6.41 GB/s,5.50 GB/s
2023-09-08 01:19:55,6.78 GB/s,5.87 GB/s
2023-09-08 01:20:00,4.45 GB/s,3.88 GB/s
2023-09-08 01:20:05,15.5 GB/s,13.6 GB/s
2023-09-08 01:20:10,5.03 GB/s,4.51 GB/s
2023-09-08 01:20:15,10.8 GB/s,9.79 GB/s
2023-09-08 01:20:20,8.71 GB/s,7.64 GB/s
2023-09-08 01:20:25,6.67 GB/s,5.80 GB/s
2023-09-08 01:20:30,2.90 GB/s,2.63 GB/s
2023-09-08 01:20:35,3.36 GB/s,2.99 GB/s
2023-09-08 01:20:40,11.4 GB/s,9.98 GB/s
2023-09-08 01:20:45,9.38 GB/s,8.17 GB/s
2023-09-08 01:20:50,2.39 GB/s,2.18 GB/s
2023-09-08 01:20:55,13.2 GB/s,11.4 GB/s
2023-09-08 01:21:00,5.64 GB/s,4.92 GB/s
2023-09-08 01:21:05,4.94 GB/s,4.34 GB/s
2023-09-08 01:21:10,5.07 GB/s,4.57 GB/s
2023-09-08 01:21:15,9.13 GB/s,8.06 GB/s
2023-09-08 01:21:20,13.6 GB/s,12.0 GB/s
2023-09-08 01:21:25,10.3 GB/s,8.91 GB/s
2023-09-08 01:21:30,15.5 GB/s,13.3 GB/s
2023-09-08 01:21:35,1.98 GB/s,1.77 GB/s
2023-09-08 01:21:40,11.6 GB/s,10.2 GB/s
2023-09-08 01:21:45,8.66 GB/s,7.48 GB/s
2023-09-08 01:21:50,6.01 GB/s,5.32 GB/s
2023-09-08 01:21:55,8.30 GB/s,7.44 GB/s
2023-09-08 01:22:00,9.62 GB/s,8.30 GB/s
2023-09-08 01:22:05,3.23 GB/s,3.04 GB/s
2023-09-08 01:22:10,3.12 GB/s,2.72 GB/s
2023-09-08 01:22:15,5.72 GB/s,4.96 GB/s
2023-09-08 01:22:20,3.02 GB/s,2.68 GB/s
2023-09-08 01:22:25,9.42 GB/s,8.27 GB/s
2023-09-08 01:22:30,5.73 GB/s,4.99 GB/s
2023-09-08 01:22:35,8.13 GB/s,7.06 GB/s
2023-09-08 01:22:40,4.64 GB/s,4.11 GB/s
2023-09-08 01:22:45,2.63 GB/s,2.37 GB/s
2023-09-08 01:22:50,4.85 GB/s,4.42 GB/s
2023-09-08 01:22:55,12.0 GB/s,10.5 GB/s
2023-09-08 01:23:00,6.27 GB/s,5.36 GB/s
2023-09-08 01:23:05,4.19 GB/s,3.60 GB/s
2023-09-08 01:23:10,2.66 GB/s,2.32 GB/s
2023-09-08 01:23:15,5.28 GB/s,4.63 GB/s
2023-09-08 01:23:20,5.79 GB/s,4.96 GB/s
2023-09-08 01:23:25,3.83 GB/s,3.30 GB/s
2023-09-08 01:23:30,3.29 GB/s,2.98 GB/s
2023-09-08 01:23:35,8.28 GB/s,7.23 GB/s
2023-09-08 01:23:40,9.55 GB/s,8.23 GB/s
2023-09-08 01:23:45,3.50 GB/s,3.04 GB/s
2023-09-08 01:23:50,4.45 GB/s,3.95 GB/s
2023-09-08 01:23:55,9.93 GB/s,8.73 GB/s
2023-09-08 01:24:00,5.31 GB/s,4.75 GB/s
2023-09-08 01:24:05,5.25 GB/s,4.54 GB/s
2023-09-08 01:24:10,6.08 GB/s,5.28 GB/s
2023-09-08 01:24:15,9.72 GB/s,8.50 GB/s
2023-09-08 01:24:20,12.0 GB/s,11.2 GB/s
2023-09-08 01:24:25,10.4 GB/s,8.22 GB/s
2023-09-08 01:24:30,6.49 GB/s,5.59 GB/s
2023-09-08 01:24:35,6.97 GB/s,6.00 GB/s
2023-09-08 01:24:40,4.16 GB/s,3.82 GB/s
2023-09-08 01:24:45,7.19 GB/s,6.47 GB/s
2023-09-08 01:24:50,12.7 GB/s,10.8 GB/s
2023-09-08 01:24:55,4.27 GB/s,3.65 GB/s
2023-09-08 01:25:00,3.35 GB/s,3.08 GB/s
2023-09-08 01:25:05,8.99 GB/s,7.79 GB/s
2023-09-08 01:25:10,4.09 GB/s,3.63 GB/s
2023-09-08 01:25:15,10.1 GB/s,9.44 GB/s
2023-09-08 01:25:20,8.16 GB/s,7.25 GB/s
2023-09-08 01:25:25,10.8 GB/s,9.25 GB/s
2023-09-08 01:25:30,6.70 GB/s,5.80 GB/s
2023-09-08 01:25:35,10.7 GB/s,9.83 GB/s
2023-09-08 01:25:40,7.96 GB/s,6.32 GB/s
2023-09-08 01:25:45,8.42 GB/s,7.24 GB/s
2023-09-08 01:25:50,4.63 GB/s,4.29 GB/s
2023-09-08 01:25:55,9.44 GB/s,8.10 GB/s
2023-09-08 01:26:00,747 MB/s,697 MB/s
2023-09-08 01:26:05,5.47 GB/s,5.36 GB/s
2023-09-08 01:26:10,5.63 GB/s,4.29 GB/s
2023-09-08 01:26:15,8.55 GB/s,8.27 GB/s
2023-09-08 01:26:20,13.6 GB/s,10.9 GB/s
2023-09-08 01:26:25,1.63 GB/s,1.53 GB/s
2023-09-08 01:26:30,4.62 GB/s,4.67 GB/s
2023-09-08 01:26:35,12.4 GB/s,10.1 GB/s
2023-09-08 01:26:40,1.50 GB/s,1.33 GB/s
2023-09-08 01:26:45,5.78 GB/s,5.11 GB/s
2023-09-08 01:26:50,7.84 GB/s,6.82 GB/s
2023-09-08 01:26:55,11.1 GB/s,9.77 GB/s
2023-09-08 01:27:00,9.32 GB/s,8.11 GB/s
2023-09-08 01:27:05,8.45 GB/s,8.16 GB/s
2023-09-08 01:27:10,11.2 GB/s,8.98 GB/s
2023-09-08 01:27:15,9.99 GB/s,8.66 GB/s
2023-09-08 01:27:20,3.61 GB/s,3.25 GB/s
2023-09-08 01:27:25,12.3 GB/s,10.6 GB/s
2023-09-08 01:27:30,9.47 GB/s,8.16 GB/s
2023-09-08 01:27:35,6.25 GB/s,5.55 GB/s
2023-09-08 01:27:40,11.2 GB/s,9.74 GB/s
2023-09-08 01:27:45,8.29 GB/s,7.10 GB/s
2023-09-08 01:27:50,7.52 GB/s,6.67 GB/s
2023-09-08 01:27:55,9.31 GB/s,8.14 GB/s
2023-09-08 01:28:00,5.19 GB/s,4.55 GB/s
2023-09-08 01:28:05,7.83 GB/s,6.84 GB/s
2023-09-08 01:28:10,7.57 GB/s,6.59 GB/s
2023-09-08 01:28:15,8.90 GB/s,7.87 GB/s
2023-09-08 01:28:20,3.63 GB/s,3.24 GB/s
2023-09-08 01:28:25,5.88 GB/s,5.30 GB/s
2023-09-08 01:28:30,3.14 GB/s,2.59 GB/s
2023-09-08 01:28:35,12.1 GB/s,10.4 GB/s
2023-09-08 01:28:40,4.38 GB/s,3.95 GB/s
2023-09-08 01:28:45,2.28 GB/s,2.12 GB/s
2023-09-08 01:28:50,9.04 GB/s,7.76 GB/s
2023-09-08 01:28:55,6.88 GB/s,6.09 GB/s
2023-09-08 01:29:00,4.02 GB/s,3.47 GB/s
2023-09-08 01:29:05,8.81 GB/s,7.54 GB/s
2023-09-08 01:29:10,8.62 GB/s,7.59 GB/s
2023-09-08 01:29:15,13.7 GB/s,11.7 GB/s
2023-09-08 01:29:20,5.24 GB/s,4.54 GB/s
2023-09-08 01:29:25,5.22 GB/s,4.64 GB/s
2023-09-08 01:29:30,14.1 GB/s,12.5 GB/s
2023-09-08 01:29:35,13.3 GB/s,11.5 GB/s
2023-09-08 01:29:40,5.03 GB/s,4.39 GB/s
2023-09-08 01:29:45,3.21 GB/s,3.08 GB/s
2023-09-08 01:29:50,9.84 GB/s,9.02 GB/s
2023-09-08 01:29:55,10.1 GB/s,8.35 GB/s
2023-09-08 01:30:00,7.33 GB/s,6.33 GB/s
2023-09-08 01:30:05,6.46 GB/s,5.84 GB/s
2023-09-08 01:30:10,7.53 GB/s,6.34 GB/s
2023-09-08 01:30:15,12.5 GB/s,10.7 GB/s
2023-09-08 01:30:20,5.92 GB/s,5.37 GB/s
2023-09-08 01:30:25,11.5 GB/s,10.4 GB/s
2023-09-08 01:30:30,6.31 GB/s,7.62 GB/s
2023-09-08 01:30:35,12.5 GB/s,10.6 GB/s
2023-09-08 01:30:40,9.40 GB/s,7.79 GB/s
2023-09-08 01:30:45,2.31 GB/s,2.19 GB/s
2023-09-08 01:30:50,9.85 GB/s,8.46 GB/s
2023-09-08 01:30:55,11.1 GB/s,9.59 GB/s
2023-09-08 01:31:00,12.5 GB/s,10.7 GB/s
2023-09-08 01:31:05,5.99 GB/s,5.15 GB/s
2023-09-08 01:31:10,7.33 GB/s,6.42 GB/s
2023-09-08 01:31:15,4.13 GB/s,3.67 GB/s
2023-09-08 01:31:20,12.6 GB/s,10.9 GB/s
2023-09-08 01:31:25,7.54 GB/s,6.56 GB/s
2023-09-08 01:31:30,11.4 GB/s,9.76 GB/s
2023-09-08 01:31:35,5.66 GB/s,5.09 GB/s
2023-09-08 01:31:40,8.57 GB/s,7.48 GB/s
2023-09-08 01:31:45,10.2 GB/s,9.45 GB/s
2023-09-08 01:31:50,3.92 GB/s,3.41 GB/s
2023-09-08 01:31:55,7.30 GB/s,6.82 GB/s
2023-09-08 01:32:00,12.3 GB/s,10.2 GB/s
2023-09-08 01:32:05,12.0 GB/s,10.6 GB/s
2023-09-08 01:32:10,7.49 GB/s,6.44 GB/s
2023-09-08 01:32:15,4.22 GB/s,3.76 GB/s
2023-09-08 01:32:20,9.16 GB/s,8.02 GB/s
2023-09-08 01:32:25,8.30 GB/s,7.32 GB/s
2023-09-08 01:32:30,1.79 GB/s,1.59 GB/s
2023-09-08 01:32:35,8.22 GB/s,7.14 GB/s
2023-09-08 01:32:40,9.32 GB/s,8.21 GB/s
2023-09-08 01:32:45,3.24 GB/s,2.90 GB/s
2023-09-08 01:32:50,4.31 GB/s,3.77 GB/s
2023-09-08 01:32:55,10.3 GB/s,9.72 GB/s
2023-09-08 01:33:00,10.6 GB/s,8.54 GB/s
2023-09-08 01:33:05,7.10 GB/s,6.02 GB/s
2023-09-08 01:33:10,6.65 GB/s,5.85 GB/s
2023-09-08 01:33:15,3.77 GB/s,3.48 GB/s
2023-09-08 01:33:20,1.84 GB/s,1.61 GB/s
2023-09-08 01:33:25,14.2 GB/s,12.2 GB/s
2023-09-08 01:33:30,9.59 GB/s,8.31 GB/s
2023-09-08 01:33:35,10.9 GB/s,10.2 GB/s
2023-09-08 01:33:40,8.07 GB/s,6.20 GB/s
2023-09-08 01:33:45,4.77 GB/s,4.14 GB/s
2023-09-08 01:33:50,5.01 GB/s,4.44 GB/s
2023-09-08 01:33:55,2.79 GB/s,2.69 GB/s
2023-09-08 01:34:00,2.76 GB/s,2.39 GB/s
2023-09-08 01:34:05,5.12 GB/s,4.56 GB/s
2023-09-08 01:34:10,6.77 GB/s,6.07 GB/s
2023-09-08 01:34:15,4.13 GB/s,3.55 GB/s
2023-09-08 01:34:20,2.60 GB/s,2.51 GB/s
2023-09-08 01:34:25,9.90 GB/s,8.57 GB/s
2023-09-08 01:34:30,6.82 GB/s,5.99 GB/s
2023-09-08 01:34:35,7.40 GB/s,6.54 GB/s
2023-09-08 01:34:40,4.89 GB/s,4.28 GB/s
2023-09-08 01:34:45,5.32 GB/s,4.63 GB/s
2023-09-08 01:34:50,4.31 GB/s,3.87 GB/s
2023-09-08 01:34:55,9.44 GB/s,8.16 GB/s
2023-09-08 01:35:00,6.61 GB/s,5.79 GB/s
2023-09-08 01:35:05,5.81 GB/s,5.13 GB/s
2023-09-08 01:35:10,8.13 GB/s,7.29 GB/s
2023-09-08 01:35:15,9.27 GB/s,7.97 GB/s
2023-09-08 01:35:20,8.75 GB/s,7.87 GB/s
2023-09-08 01:35:25,7.45 GB/s,6.52 GB/s
2023-09-08 01:35:30,6.60 GB/s,5.60 GB/s
2023-09-08 01:35:35,4.89 GB/s,4.25 GB/s
2023-09-08 01:35:40,7.83 GB/s,6.88 GB/s
2023-09-08 01:35:45,11.0 GB/s,9.81 GB/s
2023-09-08 01:35:50,4.31 GB/s,3.72 GB/s
2023-09-08 01:35:55,9.70 GB/s,8.28 GB/s
2023-09-08 01:36:00,4.66 GB/s,4.19 GB/s
2023-09-08 01:36:05,10.1 GB/s,8.60 GB/s
2023-09-08 01:36:10,5.63 GB/s,4.80 GB/s
2023-09-08 01:36:15,1.30 GB/s,1.20 GB/s
2023-09-08 01:36:20,3.33 GB/s,3.05 GB/s
2023-09-08 01:36:25,10.5 GB/s,9.02 GB/s
2023-09-08 01:36:30,5.77 GB/s,5.08 GB/s
2023-09-08 01:36:35,4.65 GB/s,4.14 GB/s
2023-09-08 01:36:40,5.49 GB/s,4.88 GB/s
2023-09-08 01:36:45,11.2 GB/s,9.64 GB/s
2023-09-08 01:36:50,12.9 GB/s,11.4 GB/s
2023-09-08 01:36:55,13.4 GB/s,11.4 GB/s
2023-09-08 01:37:00,3.39 GB/s,3.02 GB/s
2023-09-08 01:37:05,9.33 GB/s,8.15 GB/s
2023-09-08 01:37:10,3.95 GB/s,3.46 GB/s
2023-09-08 01:37:15,8.76 GB/s,7.69 GB/s
2023-09-08 01:37:20,4.98 GB/s,4.39 GB/s
2023-09-08 01:37:25,7.01 GB/s,6.11 GB/s
2023-09-08 01:37:30,6.59 GB/s,5.72 GB/s
2023-09-08 01:37:35,7.78 GB/s,6.75 GB/s
2023-09-08 01:37:40,14.9 GB/s,12.8 GB/s
2023-09-08 01:37:45,8.62 GB/s,7.48 GB/s
2023-09-08 01:37:50,4.42 GB/s,4.13 GB/s
2023-09-08 01:37:55,9.92 GB/s,8.29 GB/s
