"Time","total-req-rate","ok-req-rate","error-req-rate"
2023-04-18 15:52:15,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:52:20,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 15:52:25,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:52:30,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:52:35,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 15:52:40,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:52:45,1.47 req/s,1.47 req/s,0 req/s
2023-04-18 15:52:50,1.45 req/s,1.45 req/s,0 req/s
2023-04-18 15:52:55,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:53:00,1.42 req/s,1.42 req/s,0 req/s
2023-04-18 15:53:05,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:53:10,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:53:15,1.42 req/s,1.42 req/s,0 req/s
2023-04-18 15:53:20,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:53:25,1.42 req/s,1.42 req/s,0 req/s
2023-04-18 15:53:30,1.42 req/s,1.42 req/s,0 req/s
2023-04-18 15:53:35,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:53:40,1.40 req/s,1.40 req/s,0 req/s
