"Time","total-req-rate","ok-req-rate","error-req-rate"
2023-04-18 15:28:00,1.13 req/s,1.13 req/s,0 req/s
2023-04-18 15:28:05,1.22 req/s,1.22 req/s,0 req/s
2023-04-18 15:28:10,1.35 req/s,1.35 req/s,0 req/s
2023-04-18 15:28:15,1.47 req/s,1.40 req/s,0.0727 req/s
2023-04-18 15:28:20,1.73 req/s,1.53 req/s,0.200 req/s
2023-04-18 15:28:25,1.85 req/s,1.65 req/s,0.200 req/s
2023-04-18 15:28:30,2.09 req/s,1.73 req/s,0.364 req/s
2023-04-18 15:28:35,2.27 req/s,1.85 req/s,0.418 req/s
2023-04-18 15:28:40,2.49 req/s,2.00 req/s,0.491 req/s
2023-04-18 15:28:45,2.67 req/s,2.13 req/s,0.545 req/s
2023-04-18 15:28:50,2.84 req/s,2.25 req/s,0.582 req/s
2023-04-18 15:28:55,3.07 req/s,2.49 req/s,0.582 req/s
2023-04-18 15:29:00,3.04 req/s,2.44 req/s,0.600 req/s
2023-04-18 15:29:05,3.18 req/s,2.44 req/s,0.745 req/s
2023-04-18 15:29:10,3.18 req/s,2.47 req/s,0.709 req/s
2023-04-18 15:29:15,3.20 req/s,2.53 req/s,0.673 req/s
2023-04-18 15:29:20,3.25 req/s,2.58 req/s,0.673 req/s
2023-04-18 15:29:25,3.22 req/s,2.71 req/s,0.509 req/s
2023-04-18 15:29:30,3.29 req/s,2.84 req/s,0.455 req/s
2023-04-18 15:29:35,3.29 req/s,2.91 req/s,0.382 req/s
2023-04-18 15:29:40,3.22 req/s,2.89 req/s,0.327 req/s
2023-04-18 15:29:45,3.16 req/s,2.84 req/s,0.327 req/s
2023-04-18 15:29:50,3.11 req/s,2.58 req/s,0.527 req/s
2023-04-18 15:29:55,3.24 req/s,2.69 req/s,0.545 req/s
2023-04-18 15:30:00,3.22 req/s,2.80 req/s,0.418 req/s
2023-04-18 15:30:05,3.24 req/s,2.85 req/s,0.382 req/s
2023-04-18 15:30:10,3.11 req/s,2.62 req/s,0.491 req/s
2023-04-18 15:30:15,3.07 req/s,2.56 req/s,0.509 req/s
2023-04-18 15:30:20,2.87 req/s,2.36 req/s,0.509 req/s
2023-04-18 15:30:25,2.80 req/s,2.25 req/s,0.545 req/s
2023-04-18 15:30:30,2.80 req/s,2.07 req/s,0.727 req/s
2023-04-18 15:30:35,2.87 req/s,2.00 req/s,0.873 req/s
2023-04-18 15:30:40,3 req/s,1.93 req/s,1.07 req/s
2023-04-18 15:30:45,2.98 req/s,2.11 req/s,0.873 req/s
2023-04-18 15:30:50,2.95 req/s,2.07 req/s,0.873 req/s
2023-04-18 15:30:55,2.93 req/s,1.87 req/s,1.05 req/s
2023-04-18 15:31:00,2.98 req/s,1.78 req/s,1.20 req/s
2023-04-18 15:31:05,3.05 req/s,1.98 req/s,1.07 req/s
2023-04-18 15:31:10,3.05 req/s,1.95 req/s,1.11 req/s
2023-04-18 15:31:15,3.29 req/s,1.93 req/s,1.36 req/s
2023-04-18 15:31:20,3.27 req/s,1.76 req/s,1.51 req/s
2023-04-18 15:31:25,3.36 req/s,1.82 req/s,1.55 req/s
2023-04-18 15:31:30,3.29 req/s,1.80 req/s,1.49 req/s
2023-04-18 15:31:35,3.35 req/s,1.80 req/s,1.55 req/s
2023-04-18 15:31:40,3.36 req/s,1.80 req/s,1.56 req/s
2023-04-18 15:31:45,3.29 req/s,1.76 req/s,1.53 req/s
2023-04-18 15:31:50,3.33 req/s,1.80 req/s,1.53 req/s
2023-04-18 15:31:55,3.36 req/s,1.95 req/s,1.42 req/s
2023-04-18 15:32:00,3.45 req/s,2.11 req/s,1.35 req/s
2023-04-18 15:32:05,3.42 req/s,2.13 req/s,1.29 req/s
2023-04-18 15:32:10,3.31 req/s,2.11 req/s,1.20 req/s
2023-04-18 15:32:15,3.40 req/s,2.20 req/s,1.20 req/s
2023-04-18 15:32:20,3.25 req/s,2.18 req/s,1.07 req/s
2023-04-18 15:32:25,3.38 req/s,2.25 req/s,1.13 req/s
2023-04-18 15:32:30,3.31 req/s,2.36 req/s,0.945 req/s
2023-04-18 15:32:35,3.24 req/s,2.24 req/s,1.000 req/s
2023-04-18 15:32:40,3.35 req/s,2.20 req/s,1.15 req/s
2023-04-18 15:32:45,3.29 req/s,2.22 req/s,1.07 req/s
2023-04-18 15:32:50,3.29 req/s,2.07 req/s,1.22 req/s
2023-04-18 15:32:55,3.25 req/s,1.84 req/s,1.42 req/s
2023-04-18 15:33:00,3.36 req/s,1.95 req/s,1.42 req/s
2023-04-18 15:33:05,3.40 req/s,2.15 req/s,1.25 req/s
2023-04-18 15:33:10,3.29 req/s,2.13 req/s,1.16 req/s
2023-04-18 15:33:15,3.42 req/s,2.22 req/s,1.20 req/s
2023-04-18 15:33:20,3.33 req/s,2.22 req/s,1.11 req/s
2023-04-18 15:33:25,3.27 req/s,2.20 req/s,1.07 req/s
2023-04-18 15:33:30,3.24 req/s,2.16 req/s,1.07 req/s
2023-04-18 15:33:35,3 req/s,2.07 req/s,0.927 req/s
2023-04-18 15:33:40,2.75 req/s,1.95 req/s,0.800 req/s
2023-04-18 15:33:45,2.45 req/s,1.84 req/s,0.618 req/s
2023-04-18 15:33:50,2.15 req/s,1.73 req/s,0.418 req/s
2023-04-18 15:33:55,1.87 req/s,1.45 req/s,0.418 req/s
2023-04-18 15:34:00,1.65 req/s,1.24 req/s,0.418 req/s
2023-04-18 15:34:05,1.45 req/s,1.13 req/s,0.327 req/s
2023-04-18 15:34:10,1.15 req/s,0.945 req/s,0.200 req/s
2023-04-18 15:34:15,0.927 req/s,0.782 req/s,0.145 req/s
2023-04-18 15:34:20,0.709 req/s,0.636 req/s,0.0727 req/s
2023-04-18 15:34:25,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:34:30,0.509 req/s,0.509 req/s,0 req/s
2023-04-18 15:34:35,0.491 req/s,0.491 req/s,0 req/s
