"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","vetha44c48b receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","vetha44c48b transmit"
2023-04-18 15:30:50,393 MB/s,0 kB/s,11.2 kB/s,824 MB/s,0 kB/s,408 MB/s,824 MB/s,0 kB/s,10.8 kB/s,410 MB/s,0 kB/s,824 MB/s
2023-04-18 15:30:55,444 MB/s,0 kB/s,11.6 kB/s,294 MB/s,0 kB/s,457 MB/s,294 MB/s,0 kB/s,10.8 kB/s,459 MB/s,0 kB/s,294 MB/s
2023-04-18 15:31:00,1.39 GB/s,0 kB/s,0 kB/s,2.37 GB/s,0 kB/s,1.40 GB/s,2.37 GB/s,0 kB/s,0 kB/s,1.40 GB/s,0 kB/s,2.37 GB/s
2023-04-18 15:31:05,4.26 GB/s,0 kB/s,22.4 kB/s,2.39 GB/s,0 kB/s,4.27 GB/s,2.39 GB/s,0 kB/s,10.8 kB/s,4.28 GB/s,0 kB/s,2.39 GB/s
2023-04-18 15:31:10,367 MB/s,0 kB/s,45.6 kB/s,293 MB/s,0 kB/s,379 MB/s,293 MB/s,0 kB/s,38.4 kB/s,381 MB/s,0 kB/s,293 MB/s
2023-04-18 15:31:15,420 MB/s,0 kB/s,67.2 kB/s,669 MB/s,0 kB/s,435 MB/s,669 MB/s,0 kB/s,60 kB/s,437 MB/s,0 kB/s,669 MB/s
2023-04-18 15:31:20,340 MB/s,0 kB/s,0 kB/s,280 MB/s,0 kB/s,352 MB/s,280 MB/s,0 kB/s,0 kB/s,354 MB/s,0 kB/s,280 MB/s
2023-04-18 15:31:25,449 MB/s,0 kB/s,17.6 kB/s,1.53 GB/s,0 kB/s,466 MB/s,1.53 GB/s,0 kB/s,23.2 kB/s,468 MB/s,0 kB/s,1.53 GB/s
2023-04-18 15:31:30,1.44 GB/s,0 kB/s,0 kB/s,859 MB/s,0 kB/s,1.45 GB/s,859 MB/s,0 kB/s,0 kB/s,1.45 GB/s,0 kB/s,859 MB/s
2023-04-18 15:31:35,2.88 GB/s,0 kB/s,0 kB/s,2.23 GB/s,0 kB/s,2.89 GB/s,2.23 GB/s,0 kB/s,0 kB/s,2.89 GB/s,0 kB/s,2.23 GB/s
2023-04-18 15:31:40,6.17 GB/s,0 kB/s,0 kB/s,3.93 GB/s,0 kB/s,6.19 GB/s,3.93 GB/s,0 kB/s,0 kB/s,6.19 GB/s,0 kB/s,3.93 GB/s
2023-04-18 15:31:45,427 MB/s,0 kB/s,11.2 kB/s,649 MB/s,0 kB/s,440 MB/s,649 MB/s,0 kB/s,10.8 kB/s,442 MB/s,0 kB/s,649 MB/s
2023-04-18 15:31:50,2.19 GB/s,0 kB/s,12 kB/s,3.38 GB/s,0 kB/s,2.21 GB/s,3.38 GB/s,0 kB/s,8.40 kB/s,2.21 GB/s,0 kB/s,3.38 GB/s
2023-04-18 15:31:55,9.03 GB/s,0 kB/s,0 kB/s,5.13 GB/s,0 kB/s,9.05 GB/s,5.13 GB/s,0 kB/s,0 kB/s,9.05 GB/s,0 kB/s,5.13 GB/s
2023-04-18 15:32:00,7.27 GB/s,0 kB/s,0 kB/s,4.04 GB/s,0 kB/s,7.29 GB/s,4.04 GB/s,0 kB/s,0 kB/s,7.30 GB/s,0 kB/s,4.04 GB/s
2023-04-18 15:32:05,2.14 GB/s,0 kB/s,14.8 kB/s,2.15 GB/s,0 kB/s,2.16 GB/s,2.15 GB/s,0 kB/s,10.8 kB/s,2.16 GB/s,0 kB/s,2.15 GB/s
2023-04-18 15:32:10,1.47 GB/s,0 kB/s,33.6 kB/s,1.01 GB/s,0 kB/s,1.48 GB/s,1.01 GB/s,0 kB/s,30 kB/s,1.48 GB/s,0 kB/s,1.01 GB/s
2023-04-18 15:32:15,2.16 GB/s,0 kB/s,89.6 kB/s,2.16 GB/s,0 kB/s,2.17 GB/s,2.16 GB/s,0 kB/s,81.6 kB/s,2.18 GB/s,0 kB/s,2.16 GB/s
2023-04-18 15:32:20,471 MB/s,0 kB/s,0 kB/s,1.36 GB/s,0 kB/s,486 MB/s,1.36 GB/s,0 kB/s,0 kB/s,488 MB/s,0 kB/s,1.36 GB/s
2023-04-18 15:32:25,470 MB/s,0 kB/s,0 kB/s,1.36 GB/s,0 kB/s,489 MB/s,1.36 GB/s,0 kB/s,0 kB/s,491 MB/s,0 kB/s,1.36 GB/s
2023-04-18 15:32:30,1.43 GB/s,0 kB/s,113 kB/s,2.12 GB/s,0 kB/s,1.44 GB/s,2.12 GB/s,0 kB/s,582 kB/s,1.44 GB/s,0 kB/s,2.12 GB/s
2023-04-18 15:32:35,1.45 GB/s,0 kB/s,11.2 kB/s,1.11 GB/s,0 kB/s,1.47 GB/s,1.11 GB/s,0 kB/s,10.8 kB/s,1.47 GB/s,0 kB/s,1.11 GB/s
2023-04-18 15:32:40,498 MB/s,0 kB/s,11.6 kB/s,699 MB/s,0 kB/s,510 MB/s,699 MB/s,0 kB/s,10.8 kB/s,512 MB/s,0 kB/s,699 MB/s
2023-04-18 15:32:45,366 MB/s,0 kB/s,11.6 kB/s,2.44 GB/s,0 kB/s,382 MB/s,2.44 GB/s,0 kB/s,10.8 kB/s,384 MB/s,0 kB/s,2.44 GB/s
2023-04-18 15:32:50,341 MB/s,0 kB/s,0 kB/s,300 MB/s,0 kB/s,349 MB/s,300 MB/s,0 kB/s,0 kB/s,351 MB/s,0 kB/s,300 MB/s
2023-04-18 15:32:55,3.09 GB/s,0 kB/s,22.4 kB/s,2.13 GB/s,0 kB/s,3.11 GB/s,2.13 GB/s,0 kB/s,10.8 kB/s,3.11 GB/s,0 kB/s,2.13 GB/s
2023-04-18 15:33:00,2.60 GB/s,0 kB/s,0 kB/s,1.87 GB/s,0 kB/s,2.62 GB/s,1.87 GB/s,0 kB/s,0 kB/s,2.62 GB/s,0 kB/s,1.87 GB/s
