timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681801174590,2874,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-2,text,true,,8914,178,7,7,https://rcie.nuttchai.app/api/v1/search?offset=3114&limit=32&isHiddenRequired=true,2850,0,2363
1681801177254,2593,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-7,text,true,,4820596,181,10,10,https://rcie.nuttchai.app/api/v1/search?offset=1370&limit=17368&isHiddenRequired=true,1919,0,120
1681801175652,4322,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-4,text,true,,4231410,182,10,10,https://rcie.nuttchai.app/api/v1/search?offset=25113&limit=15158&isHiddenRequired=true,3121,0,1294
1681801176720,3486,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-6,text,true,,5127962,182,9,9,https://rcie.nuttchai.app/api/v1/search?offset=13892&limit=18405&isHiddenRequired=true,2181,0,296
1681801177789,3752,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-8,text,true,,5410767,182,11,11,https://rcie.nuttchai.app/api/v1/search?offset=19040&limit=19448&isHiddenRequired=true,1430,0,116
1681801179389,2520,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-11,text,true,,5394119,182,10,10,https://rcie.nuttchai.app/api/v1/search?offset=18973&limit=19398&isHiddenRequired=true,990,0,111
1681801181523,790,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-15,text,true,,4317,178,10,10,https://rcie.nuttchai.app/api/v1/search?offset=1553&limit=14&isHiddenRequired=true,790,0,119
1681801180987,1625,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-14,text,true,,19087,179,10,10,https://rcie.nuttchai.app/api/v1/search?offset=43978&limit=65&isHiddenRequired=true,1593,0,113
1681801176186,6442,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-5,text,true,,148504,321,9,9,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=37088&limit=540,6318,0,761
1681801178854,4398,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-10,text,true,,158774,334,9,9,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=37537&limit=552,4262,0,118
1681801175120,8266,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-3,text,true,,191433,335,8,8,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=17272&limit=664,8134,0,1826
1681801178323,6277,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-9,text,true,,249152,334,9,9,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=44077&limit=868,6148,0,116
1681801174476,10650,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-1,text,true,,264370,321,9,9,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=34783&limit=962,10483,0,2532
1681801183122,2174,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-18,text,true,,11741,179,9,9,https://rcie.nuttchai.app/api/v1/search?offset=13740&limit=41&isHiddenRequired=true,1910,0,110
1681801182057,3474,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-16,text,true,,4776020,182,8,8,https://rcie.nuttchai.app/api/v1/search?offset=13881&limit=17125&isHiddenRequired=true,2161,0,154
1681801183655,1978,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-19,text,true,,8351,179,7,7,https://rcie.nuttchai.app/api/v1/search?offset=32405&limit=29&isHiddenRequired=true,1978,0,118
1681801180454,5196,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-13,text,true,,191617,334,6,6,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=44567&limit=667,4811,0,120
1681801179921,5898,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-12,text,true,,237935,321,6,6,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=39246&limit=865,5748,0,124
1681801184723,1325,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-21,text,true,,7367,179,5,5,https://rcie.nuttchai.app/api/v1/search?offset=40550&limit=24&isHiddenRequired=true,1325,0,118
