"Time","avg-res-time"
2023-04-18 14:13:45,882 ms
2023-04-18 14:13:50,843 ms
2023-04-18 14:13:55,804 ms
2023-04-18 14:14:00,864 ms
2023-04-18 14:14:05,904 ms
2023-04-18 14:14:10,895 ms
2023-04-18 14:14:15,850 ms
2023-04-18 14:14:20,797 ms
2023-04-18 14:14:25,783 ms
2023-04-18 14:14:30,772 ms
2023-04-18 14:14:35,790 ms
2023-04-18 14:14:40,668 ms
2023-04-18 14:14:45,667 ms
2023-04-18 14:14:50,679 ms
2023-04-18 14:14:55,611 ms
2023-04-18 14:15:00,556 ms
2023-04-18 14:15:05,543 ms
2023-04-18 14:15:10,523 ms
2023-04-18 14:15:15,505 ms
2023-04-18 14:15:20,517 ms
2023-04-18 14:15:25,517 ms
2023-04-18 14:15:30,470 ms
2023-04-18 14:15:35,517 ms
2023-04-18 14:15:40,514 ms
2023-04-18 14:15:45,531 ms
2023-04-18 14:15:50,584 ms
2023-04-18 14:15:55,581 ms
2023-04-18 14:16:00,564 ms
2023-04-18 14:16:05,550 ms
2023-04-18 14:16:10,583 ms
2023-04-18 14:16:15,601 ms
2023-04-18 14:16:20,659 ms
2023-04-18 14:16:25,677 ms
2023-04-18 14:16:30,617 ms
2023-04-18 14:16:35,678 ms
2023-04-18 14:16:40,686 ms
2023-04-18 14:16:45,649 ms
2023-04-18 14:16:50,648 ms
2023-04-18 14:16:55,656 ms
2023-04-18 14:17:00,689 ms
2023-04-18 14:17:05,696 ms
2023-04-18 14:17:10,729 ms
2023-04-18 14:17:15,707 ms
2023-04-18 14:17:20,741 ms
2023-04-18 14:17:25,750 ms
2023-04-18 14:17:30,706 ms
2023-04-18 14:17:35,849 ms
2023-04-18 14:17:40,1.14 s
2023-04-18 14:17:45,1.26 s
2023-04-18 14:17:50,1.35 s
2023-04-18 14:17:55,1.51 s
2023-04-18 14:18:00,1.78 s
2023-04-18 14:18:05,1.87 s
2023-04-18 14:18:10,1.87 s
2023-04-18 14:18:15,2.07 s
2023-04-18 14:18:20,2.18 s
2023-04-18 14:18:25,2.43 s
2023-04-18 14:18:30,2.68 s
2023-04-18 14:18:35,2.81 s
2023-04-18 14:18:40,3.22 s
2023-04-18 14:18:45,3.16 s
2023-04-18 14:18:50,3.09 s
2023-04-18 14:18:55,3.01 s
2023-04-18 14:19:00,3.06 s
2023-04-18 14:19:05,3.25 s
2023-04-18 14:19:10,3.26 s
2023-04-18 14:19:15,3.30 s
2023-04-18 14:19:20,3.38 s
2023-04-18 14:19:25,3.21 s
2023-04-18 14:19:30,3.21 s
2023-04-18 14:19:35,3.01 s
2023-04-18 14:19:40,3.25 s
2023-04-18 14:19:45,3.32 s
2023-04-18 14:19:50,3.23 s
2023-04-18 14:19:55,3.09 s
2023-04-18 14:20:00,2.90 s
2023-04-18 14:20:05,2.83 s
2023-04-18 14:20:10,2.85 s
2023-04-18 14:20:15,2.64 s
2023-04-18 14:20:20,2.51 s
2023-04-18 14:20:25,2.26 s
2023-04-18 14:20:30,2.08 s
2023-04-18 14:20:35,1.73 s
2023-04-18 14:20:40,1.51 s
2023-04-18 14:20:45,1.48 s
2023-04-18 14:20:50,1.46 s
2023-04-18 14:20:55,1.42 s
2023-04-18 14:21:00,1.21 s
2023-04-18 14:21:05,839 ms
2023-04-18 14:21:10,835 ms
2023-04-18 14:21:15,847 ms
2023-04-18 14:21:20,884 ms
2023-04-18 14:21:25,1.03 s
2023-04-18 14:21:30,1.08 s
2023-04-18 14:21:35,1.07 s
2023-04-18 14:21:40,1.10 s
2023-04-18 14:21:45,1.15 s
2023-04-18 14:21:50,1.11 s
2023-04-18 14:21:55,1.10 s
2023-04-18 14:22:00,1.15 s
2023-04-18 14:22:05,1.07 s
2023-04-18 14:22:10,1.03 s
2023-04-18 14:22:15,987 ms
2023-04-18 14:22:20,821 ms
2023-04-18 14:22:25,763 ms
2023-04-18 14:22:30,765 ms
2023-04-18 14:22:35,720 ms
2023-04-18 14:22:40,650 ms
2023-04-18 14:22:45,720 ms
2023-04-18 14:22:50,772 ms
2023-04-18 14:22:55,735 ms
2023-04-18 14:23:00,788 ms
2023-04-18 14:23:05,773 ms
2023-04-18 14:23:10,761 ms
2023-04-18 14:23:15,801 ms
2023-04-18 14:23:20,830 ms
2023-04-18 14:23:25,870 ms
2023-04-18 14:23:30,873 ms
2023-04-18 14:23:35,918 ms
2023-04-18 14:23:40,923 ms
2023-04-18 14:23:45,868 ms
2023-04-18 14:23:50,886 ms
2023-04-18 14:23:55,854 ms
2023-04-18 14:24:00,841 ms
2023-04-18 14:24:05,835 ms
2023-04-18 14:24:10,845 ms
