"Time","Timestamp [ms]","iowait [Ratios]","irq [Ratios]","nice [Ratios]","softirq [Ratios]","steal [Ratios]","system [Ratios]","user [Ratios]","Used [MiB]","Buffer [MiB]","Cached [MiB]","Free [MiB]","br-10cd1f6f3899 receive [MB/s]","docker0 receive [MB/s]","eth0 receive [MB/s]","eth1 receive [MB/s]","lo receive [MB/s]","veth6750e95 receive [MB/s]","br-10cd1f6f3899 transmit [MB/s]","docker0 transmit [MB/s]","eth0 transmit [MB/s]","eth1 transmit [MB/s]","lo transmit [MB/s]","veth6750e95 transmit [MB/s]","total-req-rate [req/s]","ok-req-rate [req/s]","error-req-rate [req/s]","avg-res-time [ms]","ServerStatus"
"2023-04-18 14:03:30","1681801410000","0","0","0","0.027999999999999997","0.034","0.052000000000000005","0.07200000000000001","333","27.3","502","108","1110","0","0.033600000000000005","772","0","1120","772","0","0.0216","1120","0","772","1.42","1.42","0","970","0"
"2023-04-18 14:03:35","1681801415000","0","0","0","0.052000000000000005","0.042","0.046","0.078","333","27.3","502","108","1220","0","0.012","828","0","1230","828","0","0.008400000000000001","1230","0","828","1.47","1.47","0","1020","0"
"2023-04-18 14:03:40","1681801420000","0","0","0","0.008","0.006","0.018000000000000002","0.064","333","27.3","502","108","2080","0","0.0116","1290","0","2080","1290","0","0.0108","2080","0","1290","1.47","1.47","0","998","0"
"2023-04-18 14:03:45","1681801425000","0","0","0","0.026000000000000002","0.026000000000000002","0.046","0.11199999999999999","330","27.3","502","110","3020","0","0","1960","0","3030","1960","0","0","3030","0","1960","1.49","1.49","0","952","0"
"2023-04-18 14:03:50","1681801430000","0","0","0","0.052000000000000005","0.026000000000000002","0.057999999999999996","0.122","324","27.3","502","117","2510","0","0","1650","0","2520","1650","0","0","2520","0","1650","1.42","1.42","0","940","0"
"2023-04-18 14:03:55","1681801435000","0","0","0","0.013999999999999999","0.01","0.026000000000000002","0.142","324","27.3","502","117","4019.9999999999995","0","0","3060","0","4019.9999999999995","3060","0","0","4019.9999999999995","0","3060","1.49","1.49","0","1020","0"
"2023-04-18 14:04:00","1681801440000","0","0","0","0.022000000000000002","0.022000000000000002","0.038","0.09","332","27.3","502","109","3140","0","0.0228","1380","0","3150","1380","0","0.0216","3150","0","1380","1.45","1.45","0","948","0"
"2023-04-18 14:04:05","1681801445000","0","0","0","0.013999999999999999","0.01","0.013999999999999999","0.068","332","27.3","502","109","1990","0","0.012","1220","0","2000","1220","0","0.008400000000000001","2000","0","1220","1.47","1.47","0","880","0"
"2023-04-18 14:04:10","1681801450000","0","0","0","0.034","0.038","0.05","0.046","332","27.3","502","109","275","0","0.05","265","0","284","265","0","0.052000000000000005","286","0","265","1.45","1.45","0","829","0"
"2023-04-18 14:04:15","1681801455000","0","0","0","0.044000000000000004","0.038","0.057999999999999996","0.084","332","27.3","502","109","1390","0","0.033600000000000005","970","0","1400","970","0","0.03","1400","0","970","1.45","1.45","0","854","0"
"2023-04-18 14:04:20","1681801460000","0","0","0","0.038","0.018000000000000002","0.046","0.1","332","27.3","502","109","2360","0","0","1510","0","2370","1510","0","0","2370","0","1510","1.4","1.4","0","902","0"
"2023-04-18 14:04:25","1681801465000","0","0","0","0.032","0.024","0.036000000000000004","0.057999999999999996","332","27.3","502","109","1120","0","0.0112","813","0","1130","813","0","0.0108","1140","0","813","1.47","1.47","0","909","0"
"2023-04-18 14:04:30","1681801470000","0","0","0","0.013999999999999999","0.01","0.013999999999999999","0.132","332","27.3","502","109","4910","0","0.113","2980","0","4920","2980","0","0.579","4920","0","2980","1.45","1.45","0","892","0"
"2023-04-18 14:04:35","1681801475000","0","0","0","0.022000000000000002","0.016","0.03","0.10400000000000001","332","27.3","502","109","2930","0","0.0112","1870","0","2940","1870","0","0","2940","0","1870","1.45","1.45","0","843","0"
"2023-04-18 14:04:40","1681801480000","0","0","0","0.032","0.013999999999999999","0.027999999999999997","0.066","332","27.3","502","109","2130","0","0.0224","1360","0","2140","1360","0","0.0108","2140","0","1360","1.44","1.44","0","859","0"
"2023-04-18 14:04:45","1681801485000","0","0","0","0.032","0.018000000000000002","0.026000000000000002","0.07400000000000001","332","27.3","502","109","1420","0","0","1250","0","1430","1250","0","0","1430","0","1250","1.45","1.45","0","862","0"
"2023-04-18 14:04:50","1681801490000","0","0","0","0.022000000000000002","0.006","0.032","0.05","330","27.3","502","111","1650","0","0","712","0","1650","712","0","0","1650","0","712","1.44","1.44","0","769","0"
"2023-04-18 14:04:55","1681801495000","0","0","0","0.024","0.026000000000000002","0.036000000000000004","0.05","330","27.3","502","111","200","0","0","203","0","207","203","0","0","209","0","203","1.47","1.47","0","784","0"
"2023-04-18 14:05:00","1681801500000","0","0","0","0.048","0.03","0.055999999999999994","0.12","330","27.3","502","111","2350","0","0","2250","0","2360","2250","0","0","2370","0","2250","1.4","1.4","0","807","0"
"2023-04-18 14:05:05","1681801505000","0","0","0","0.016","0.013999999999999999","0.016","0.114","330","27.3","502","111","4270","0","0","1940","0","4270","1940","0","0","4270","0","1940","1.44","1.44","0","882","0"
"2023-04-18 14:05:10","1681801510000","0","0","0","0.032","0.018000000000000002","0.036000000000000004","0.08800000000000001","330","27.3","502","111","2120","0","0.033600000000000005","1400","0","2130","1400","0","0.03","2130","0","1400","1.44","1.44","0","844","0"
"2023-04-18 14:05:15","1681801515000","0","0","0","0.042","0.024","0.04","0.05","330","27.3","502","111","341","0","0.0456","322","0","352","322","0","0.0384","354","0","322","1.45","1.45","0","821","0"
"2023-04-18 14:05:20","1681801520000","0","0","0","0.034","0.024","0.04","0.066","330","27.3","502","111","1340","0","0","865","0","1340","865","0","0","1340","0","865","1.44","1.44","0","826","0"
"2023-04-18 14:05:25","1681801525000","0","0","0","0.012","0.01","0.012","0.032","330","27.3","502","111","1010","0","0","620","0","1010","620","0","0","1010","0","620","1.45","1.45","0","807","0"
