"Time","Timestamp [ms]","iowait [Ratios]","irq [Ratios]","nice [Ratios]","softirq [Ratios]","steal [Ratios]","system [Ratios]","user [Ratios]","Used [MiB]","Buffer [MiB]","Cached [MiB]","Free [MiB]","br-10cd1f6f3899 receive [MB/s]","docker0 receive [MB/s]","eth0 receive [MB/s]","eth1 receive [MB/s]","lo receive [MB/s]","veth6750e95 receive [MB/s]","br-10cd1f6f3899 transmit [MB/s]","docker0 transmit [MB/s]","eth0 transmit [MB/s]","eth1 transmit [MB/s]","lo transmit [MB/s]","veth6750e95 transmit [MB/s]","total-req-rate [req/s]","ok-req-rate [req/s]","error-req-rate [req/s]","avg-res-time [ms]","ServerStatus"
"2023-04-18 13:59:10","1681801150000","0","0","0","0","0.002","0.002","0.002","311","27.5","508","124","0.362","0","0.056799999999999996","0.18","0","0.365","0.0834","0","0.0492","2.25","0","0.0834","0.2","0.2","0","1.41","0"
"2023-04-18 13:59:15","1681801155000","0","0","0","0","0","0.002","0","311","27.5","508","124","0.373","0","0.045200000000000004","0.20600000000000002","0","0.379","0.09659999999999999","0","0.040799999999999996","2.28","0","0.09659999999999999","0.2","0.2","0","1.37","0"
"2023-04-18 13:59:20","1681801160000","0","0","0","0","0","0.002","0.004","311","27.5","508","124","0.368","0","0.0388","0.21","0","0.373","0.09179999999999999","0","0.0324","2.28","0","0.09179999999999999","0.2","0.2","0","1.36","0"
"2023-04-18 13:59:25","1681801165000","0","0","0","0","0.002","0","0.004","311","27.5","508","124","0.363","0","0","0.193","0","0.366","0.0834","0","0","2.27","0","0.0834","0.2","0.2","0","1.36","0"
"2023-04-18 13:59:30","1681801170000","0","0","0","0","0","0.002","0.002","311","27.5","508","124","0.373","0","0","0.193","0","0.378","0.09659999999999999","0","0","2.27","0","0.09659999999999999","0.2","0.2","0","1.38","0"
"2023-04-18 13:59:35","1681801175000","0","0","0","0","0.002","0.004","0.002","311","27.5","508","124","0.362","0","0.0112","0.193","0","0.365","0.0834","0","0.0154","2.27","0","0.0834","0.2","0.2","0","1.37","0"
"2023-04-18 13:59:40","1681801180000","0","0","0","0","0","0.002","0.004","311","27.5","508","124","3.51","0","0.0232","3.48","0","3.71","3.37","0","0.0192","5.61","0","3.37","0.2","0.2","0","1.39","0"
"2023-04-18 13:59:45","1681801185000","0","0","0","0.086","0.054000000000000006","0.1","0.23399999999999999","340","27.3","502","100","5520","0","0","3710","0","5550","3710","0","0","5550","0","3710","0.2","0.2","0","1.38","0"
"2023-04-18 13:59:50","1681801190000","0","0","0","0.068","0.034","0.057999999999999996","0.174","340","27.3","502","100","4710","0","0.0224","2930","0","4730","2930","0","0.0108","4730","0","2930","0.428","0.428","0","766","0"
"2023-04-18 13:59:55","1681801195000","0","0","0","0.06","0.032","0.057999999999999996","0.19","337","27.3","502","103","5490","0","0","3470","0","5510","3470","0","0","5510","0","3470","0.838","0.838","0","2060","0"
"2023-04-18 14:00:00","1681801200000","0","0","0","0.04","0.027999999999999997","0.055999999999999994","0.10800000000000001","335","27.3","502","105","3110","0","0","1990","0","3120","1990","0","0","3120","0","1990","0.967","0.967","0","1570","0"
"2023-04-18 14:00:05","1681801205000","0","0","0","0.042","0.064","0.054000000000000006","0.094","336","27.3","502","105","2280","0","0.0224","1400","0","2290","1400","0","0.0108","2290","0","1400","1.09","1.09","0","1400","0"
"2023-04-18 14:00:10","1681801210000","0","0","0","0.032","0.03","0.03","0.07200000000000001","336","27.3","502","105","1130","0","0.0456","818","0","1130","818","0","0.0384","1140","0","818","1.24","1.24","0","1380","0"
"2023-04-18 14:00:15","1681801215000","0","0","0","0.057999999999999996","0.066","0.048","0.086","336","27.3","502","105","1300","0","0.033600000000000005","872","0","1320","872","0","0.03","1320","0","872","1.38","1.38","0","1390","0"
"2023-04-18 14:00:20","1681801220000","0","0","0","0.03","0.026000000000000002","0.038","0.132","332","27.3","502","109","3210","0","0","2009.9999999999998","0","3210","2009.9999999999998","0","0","3220","0","2009.9999999999998","1.55","1.55","0","1410","0"
"2023-04-18 14:00:25","1681801225000","0","0","0","0.038","0.044000000000000004","0.054000000000000006","0.09","332","27.3","502","109","1300","0","0","901","0","1310","901","0","0","1310","0","901","1.7","1.7","0","1330","0"
"2023-04-18 14:00:30","1681801230000","0","0","0","0.052000000000000005","0.04","0.044000000000000004","0.136","332","27.3","502","108","3010","0","0.113","1880","0","3020","1880","0","0.581","3020","0","1880","1.85","1.85","0","1320","0"
"2023-04-18 14:00:35","1681801235000","0","0","0","0.012","0.016","0.024","0.08199999999999999","332","27.3","502","108","2770","0","0","1720","0","2770","1720","0","0","2770","0","1720","2.03","2.03","0","1310","0"
"2023-04-18 14:00:40","1681801240000","0","0","0","0.03","0.03","0.044000000000000004","0.126","332","27.3","502","108","2150","0","0","1950","0","2160","1950","0","0","2160","0","1950","2.17","2.17","0","1260","0"
"2023-04-18 14:00:45","1681801245000","0","0","0","0.048","0.036000000000000004","0.057999999999999996","0.14800000000000002","332","27.3","502","108","4870","0","0.019600000000000003","2500","0","4880","2500","0","0.019600000000000003","4880","0","2500","2.15","2.15","0","1180","0"
"2023-04-18 14:00:50","1681801250000","0","0","0","0.026000000000000002","0.024","0.027999999999999997","0.08","332","27.3","502","108","2020","0","0.0308","1290","0","2029.9999999999998","1290","0","0.0304","2029.9999999999998","0","1290","2.09","2.09","0","1000","0"
"2023-04-18 14:00:55","1681801255000","0","0","0","0.016","0.013999999999999999","0.018000000000000002","0.124","330","27.3","502","110","3770","0","0.066","2330","0","3770","2330","0","0.0584","3780","0","2330","2.11","2.11","0","957","0"
"2023-04-18 14:01:00","1681801260000","0","0","0","0.02","0.038","0.022000000000000002","0.196","328","27.3","502","112","5650","0","0.07840000000000001","3630","0","5650","3630","0","0.07840000000000001","5650","0","3630","2.13","2.13","0","905","0"
"2023-04-18 14:01:05","1681801265000","0","0","0","0.024","0.03","0.032","0.132","328","27.3","502","112","4130","0","0","2400","0","4140","2400","0","0","4140","0","2400","2.11","2.11","0","833","0"
"2023-04-18 14:01:10","1681801270000","0","0","0","0.042","0.05","0.06","0.11","328","27.3","502","112","2260","0","0.053200000000000004","1480","0","2270","1480","0","0.049600000000000005","2280","0","1480","2.09","2.09","0","776","0"
"2023-04-18 14:01:15","1681801275000","0","0","0","0.06","0.05","0.052000000000000005","0.196","328","27.3","502","112","4600","0","0.0728","3380","0","4610","3380","0","0.0692","4610","0","3380","2.09","2.09","0","763","0"
"2023-04-18 14:01:20","1681801280000","0","0","0","0.04","0.042","0.03","0.198","328","27.3","502","112","5750","0","0.0316","3200","0","5760","3200","0","0.028","5760","0","3200","2.07","2.07","0","782","0"
"2023-04-18 14:01:25","1681801285000","0","0","0","0.01","0.018000000000000002","0.02","0.026000000000000002","328","27.3","502","112","397","0","0","113","0","401","113","0","0","403","0","113","2.13","2.13","0","727","0"
"2023-04-18 14:01:30","1681801290000","0","0","0","0.027999999999999997","0.022000000000000002","0.022000000000000002","0.1","328","27.3","502","112","2830","0","0.0116","2300","0","2840","2300","0","0.0108","2840","0","2300","2.09","2.09","0","679","0"
"2023-04-18 14:01:35","1681801295000","0","0","0","0.026000000000000002","0.022000000000000002","0.027999999999999997","0.268","332","27.3","502","109","9170","0","0","5480","0","9180","5480","0","0","9180","0","5480","2.05","2.05","0","683","0"
"2023-04-18 14:01:40","1681801300000","0","0","0","0.026000000000000002","0.034","0.032","0.092","332","27.3","502","109","2530","0","0","1240","0","2540","1240","0","0","2540","0","1240","2.11","2.11","0","688","0"
"2023-04-18 14:01:45","1681801305000","0","0","0","0.07200000000000001","0.05","0.07","0.126","329","27.3","502","111","2390","0","0.0116","1630","0","2410","1630","0","0.0108","2420","0","1630","2.04","2.04","0","685","0"
"2023-04-18 14:01:50","1681801310000","0","0","0","0.055999999999999994","0.048","0.062","0.10400000000000001","321","27.3","502","120","1330","0","0.0232","946","0","1340","946","0","0.0224","1350","0","946","2.04","2.04","0","776","0"
"2023-04-18 14:01:55","1681801315000","0","0","0","0.046","0.034","0.057999999999999996","0.212","325","27.3","502","116","5400","0","0","3380","0","5410","3380","0","0","5410","0","3380","2.07","2.07","0","929","0"
"2023-04-18 14:02:00","1681801320000","0","0","0","0.02","0.01","0.022000000000000002","0.13","325","27.3","502","116","4900","0","0","2980","0","4910","2980","0","0","4910","0","2980","2.07","2.07","0","1000","0"
"2023-04-18 14:02:05","1681801325000","0","0","0","0.054000000000000006","0.038","0.055999999999999994","0.086","325","27.3","502","116","1300","0","0.033600000000000005","960","0","1310","960","0","0.0216","1310","0","960","2.07","2.07","0","962","0"
"2023-04-18 14:02:10","1681801330000","0","0","0","0.03","0.018000000000000002","0.054000000000000006","0.066","325","27.3","502","116","435","0","0.056","364","0","448","364","0","0.040799999999999996","450","0","364","2.07","2.07","0","961","0"
"2023-04-18 14:02:15","1681801335000","0","0","0","0.05","0.027999999999999997","0.052000000000000005","0.134","325","27.3","502","116","3400","0","0.0456","2200","0","3410","2200","0","0.0384","3420","0","2200","2.09","2.09","0","964","0"
"2023-04-18 14:02:20","1681801340000","0","0","0","0.055999999999999994","0.026000000000000002","0.07400000000000001","0.114","325","27.3","502","116","2400","0","0","1570","0","2410","1570","0","0","2410","0","1570","2.04","2.04","0","1020","0"
"2023-04-18 14:02:25","1681801345000","0","0","0","0.042","0.03","0.048","0.10800000000000001","325","27.3","502","116","2430","0","0.0116","1590","0","2450","1590","0","0.0108","2450","0","1590","2.04","2.04","0","1090","0"
"2023-04-18 14:02:30","1681801350000","0","0","0","0.016","0.013999999999999999","0.027999999999999997","0.11800000000000001","325","27.3","502","116","3130","0","0.113","2440","0","3130","2440","0","0.579","3140","0","2440","2.07","2.07","0","1130","0"
"2023-04-18 14:02:35","1681801355000","0","0","0","0.013999999999999999","0.012","0.016","0.07400000000000001","329","27.3","502","112","2890","0","0.0448","1310","0","2900","1310","0","0.0216","2900","0","1310","2.02","2.02","0","1120","0"
"2023-04-18 14:02:40","1681801360000","0","0","0","0.044000000000000004","0.024","0.044000000000000004","0.106","329","27.3","502","112","2990","0","0.0224","1880","0","3010","1880","0","0.0216","3010","0","1880","1.96","1.96","0","1090","0"
"2023-04-18 14:02:45","1681801365000","0","0","0","0.038","0.024","0.04","0.11","329","27.3","502","112","2440","0","0.0224","1610","0","2450","1610","0","0.0108","2450","0","1610","1.91","1.91","0","1040","0"
"2023-04-18 14:02:50","1681801370000","0","0","0","0.034","0.013999999999999999","0.034","0.068","329","27.3","502","112","1260","0","0","817","0","1270","817","0","0","1270","0","817","1.8","1.8","0","929","0"
"2023-04-18 14:02:55","1681801375000","0","0","0","0.032","0.027999999999999997","0.034","0.04","333","27.3","502","108","231","0","0.034","264","0","239","263","0","0.0216","241","0","263","1.76","1.76","0","918","0"
"2023-04-18 14:03:00","1681801380000","0","0","0","0.038","0.036000000000000004","0.057999999999999996","0.054000000000000006","333","27.3","502","108","352","0","0.012","331","0","364","331","0","0.008400000000000001","366","0","331","1.71","1.71","0","967","0"
"2023-04-18 14:03:05","1681801385000","0","0","0","0.038","0.024","0.052000000000000005","0.14400000000000002","333","27.3","502","108","4019.9999999999995","0","0","2500","0","4030.0000000000005","2500","0","0","4030.0000000000005","0","2500","1.64","1.64","0","956","0"
"2023-04-18 14:03:10","1681801390000","0","0","0","0.042","0.03","0.06","0.057999999999999996","333","27.3","502","108","378","0","0.033600000000000005","357","0","390","357","0","0.03","392","0","357","1.62","1.62","0","995","0"
"2023-04-18 14:03:15","1681801395000","0","0","0","0.026000000000000002","0.016","0.046","0.098","333","27.3","502","108","2240","0","0.0788","1440","0","2250","1440","0","0.0624","2250","0","1440","1.56","1.56","0","985","0"
"2023-04-18 14:03:20","1681801400000","0","0","0","0.02","0.012","0.026000000000000002","0.14","333","27.3","502","108","4070.0000000000005","0","0","2500","0","4080","2500","0","0","4080","0","2500","1.51","1.51","0","955","0"
"2023-04-18 14:03:25","1681801405000","0","0","0","0.026000000000000002","0.03","0.038","0.092","333","27.3","502","108","2029.9999999999998","0","0","1330","0","2029.9999999999998","1330","0","0","2040","0","1330","1.47","1.47","0","916","0"
