"Time","Timestamp","iowait","irq","nice","softirq","steal","system","user","Used","Buffer","Cached","Free","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit","total-req-rate","ok-req-rate","error-req-rate","latency-50-percentile","latency-95-percentile","latency-99-percentile","avg-res-time","TimeToFail"
"2023-04-18 14:00:00","1681801200000","0%","0%","0%","4.00%","2.80%","5.60%","10.8%","335 MiB","27.3 MiB","502 MiB","105 MiB","3.11 GB/s","0 kB/s","0 kB/s","1.99 GB/s","0 kB/s","3.12 GB/s","1.99 GB/s","0 kB/s","0 kB/s","3.12 GB/s","0 kB/s","1.99 GB/s","0.967 req/s","0.967 req/s","0 req/s","960 ms","7.56 s","9.51 s","1.57 s","1091301"
"2023-04-18 14:00:05","1681801205000","0%","0%","0%","4.20%","6.40%","5.40%","9.40%","336 MiB","27.3 MiB","502 MiB","105 MiB","2.28 GB/s","0 kB/s","22.4 kB/s","1.40 GB/s","0 kB/s","2.29 GB/s","1.40 GB/s","0 kB/s","10.8 kB/s","2.29 GB/s","0 kB/s","1.40 GB/s","1.09 req/s","1.09 req/s","0 req/s","951 ms","7.10 s","9.42 s","1.40 s","1086301"
"2023-04-18 14:00:10","1681801210000","0%","0%","0%","3.20%","3.00%","3.00%","7.20%","336 MiB","27.3 MiB","502 MiB","105 MiB","1.13 GB/s","0 kB/s","45.6 kB/s","818 MB/s","0 kB/s","1.13 GB/s","818 MB/s","0 kB/s","38.4 kB/s","1.14 GB/s","0 kB/s","818 MB/s","1.24 req/s","1.24 req/s","0 req/s","853 ms","5.83 s","9.17 s","1.38 s","1081301"
"2023-04-18 14:00:15","1681801215000","0%","0%","0%","5.80%","6.60%","4.80%","8.60%","336 MiB","27.3 MiB","502 MiB","105 MiB","1.30 GB/s","0 kB/s","33.6 kB/s","872 MB/s","0 kB/s","1.32 GB/s","872 MB/s","0 kB/s","30 kB/s","1.32 GB/s","0 kB/s","872 MB/s","1.38 req/s","1.38 req/s","0 req/s","841 ms","6.19 s","9.24 s","1.39 s","1076301"
"2023-04-18 14:00:20","1681801220000","0%","0%","0%","3.00%","2.60%","3.80%","13.2%","332 MiB","27.3 MiB","502 MiB","109 MiB","3.21 GB/s","0 kB/s","0 kB/s","2.01 GB/s","0 kB/s","3.21 GB/s","2.01 GB/s","0 kB/s","0 kB/s","3.22 GB/s","0 kB/s","2.01 GB/s","1.55 req/s","1.55 req/s","0 req/s","807 ms","6.40 s","9.28 s","1.41 s","1071301"
"2023-04-18 14:00:25","1681801225000","0%","0%","0%","3.80%","4.40%","5.40%","9.00%","332 MiB","27.3 MiB","502 MiB","109 MiB","1.30 GB/s","0 kB/s","0 kB/s","901 MB/s","0 kB/s","1.31 GB/s","901 MB/s","0 kB/s","0 kB/s","1.31 GB/s","0 kB/s","901 MB/s","1.70 req/s","1.70 req/s","0 req/s","767 ms","5.93 s","9.19 s","1.33 s","1066301"
"2023-04-18 14:00:30","1681801230000","0%","0%","0%","5.20%","4.00%","4.40%","13.6%","332 MiB","27.3 MiB","502 MiB","108 MiB","3.01 GB/s","0 kB/s","113 kB/s","1.88 GB/s","0 kB/s","3.02 GB/s","1.88 GB/s","0 kB/s","581 kB/s","3.02 GB/s","0 kB/s","1.88 GB/s","1.85 req/s","1.85 req/s","0 req/s","756 ms","5.54 s","9.11 s","1.32 s","1061301"
"2023-04-18 14:00:35","1681801235000","0%","0%","0%","1.20%","1.60%","2.40%","8.20%","332 MiB","27.3 MiB","502 MiB","108 MiB","2.77 GB/s","0 kB/s","0 kB/s","1.72 GB/s","0 kB/s","2.77 GB/s","1.72 GB/s","0 kB/s","0 kB/s","2.77 GB/s","0 kB/s","1.72 GB/s","2.03 req/s","2.03 req/s","0 req/s","755 ms","5.08 s","9.02 s","1.31 s","1056301"
"2023-04-18 14:00:40","1681801240000","0%","0%","0%","3.00%","3.00%","4.40%","12.6%","332 MiB","27.3 MiB","502 MiB","108 MiB","2.15 GB/s","0 kB/s","0 kB/s","1.95 GB/s","0 kB/s","2.16 GB/s","1.95 GB/s","0 kB/s","0 kB/s","2.16 GB/s","0 kB/s","1.95 GB/s","2.17 req/s","2.17 req/s","0 req/s","706 ms","5.87 s","9.17 s","1.26 s","1051301"
"2023-04-18 14:00:45","1681801245000","0%","0%","0%","4.80%","3.60%","5.80%","14.8%","332 MiB","27.3 MiB","502 MiB","108 MiB","4.87 GB/s","0 kB/s","19.6 kB/s","2.50 GB/s","0 kB/s","4.88 GB/s","2.50 GB/s","0 kB/s","19.6 kB/s","4.88 GB/s","0 kB/s","2.50 GB/s","2.15 req/s","2.15 req/s","0 req/s","636 ms","4.85 s","8.82 s","1.18 s","1046301"
"2023-04-18 14:00:50","1681801250000","0%","0%","0%","2.60%","2.40%","2.80%","8.00%","332 MiB","27.3 MiB","502 MiB","108 MiB","2.02 GB/s","0 kB/s","30.8 kB/s","1.29 GB/s","0 kB/s","2.03 GB/s","1.29 GB/s","0 kB/s","30.4 kB/s","2.03 GB/s","0 kB/s","1.29 GB/s","2.09 req/s","2.09 req/s","0 req/s","583 ms","4.51 s","8.08 s","1.00 s","1041301"
"2023-04-18 14:00:55","1681801255000","0%","0%","0%","1.60%","1.40%","1.80%","12.4%","330 MiB","27.3 MiB","502 MiB","110 MiB","3.77 GB/s","0 kB/s","66 kB/s","2.33 GB/s","0 kB/s","3.77 GB/s","2.33 GB/s","0 kB/s","58.4 kB/s","3.78 GB/s","0 kB/s","2.33 GB/s","2.11 req/s","2.11 req/s","0 req/s","500 ms","4.42 s","8.07 s","957 ms","1036301"
"2023-04-18 14:01:00","1681801260000","0%","0%","0%","2.00%","3.80%","2.20%","19.6%","328 MiB","27.3 MiB","502 MiB","112 MiB","5.65 GB/s","0 kB/s","78.4 kB/s","3.63 GB/s","0 kB/s","5.65 GB/s","3.63 GB/s","0 kB/s","78.4 kB/s","5.65 GB/s","0 kB/s","3.63 GB/s","2.13 req/s","2.13 req/s","0 req/s","473 ms","4.35 s","8.05 s","905 ms","1031301"
"2023-04-18 14:01:05","1681801265000","0%","0%","0%","2.40%","3.00%","3.20%","13.2%","328 MiB","27.3 MiB","502 MiB","112 MiB","4.13 GB/s","0 kB/s","0 kB/s","2.40 GB/s","0 kB/s","4.14 GB/s","2.40 GB/s","0 kB/s","0 kB/s","4.14 GB/s","0 kB/s","2.40 GB/s","2.11 req/s","2.11 req/s","0 req/s","431 ms","4.05 s","7.10 s","833 ms","1026301"
