"Time","latency-50-percentile","latency-95-percentile","latency-99-percentile"
2023-04-18 14:07:30,307 ms,2.24 s,4.20 s
2023-04-18 14:07:35,310 ms,2.25 s,4.25 s
2023-04-18 14:07:40,287 ms,2.31 s,4.31 s
2023-04-18 14:07:45,260 ms,2.33 s,4.36 s
2023-04-18 14:07:50,223 ms,1.56 s,3.87 s
2023-04-18 14:07:55,230 ms,2.42 s,4.49 s
2023-04-18 14:08:00,231 ms,2.75 s,4.55 s
2023-04-18 14:08:05,218 ms,2.94 s,4.59 s
2023-04-18 14:08:10,235 ms,3.71 s,4.74 s
2023-04-18 14:08:15,212 ms,3.71 s,4.74 s
2023-04-18 14:08:20,212 ms,3.71 s,4.74 s
2023-04-18 14:08:25,212 ms,3.71 s,4.74 s
2023-04-18 14:08:30,235 ms,3.71 s,4.74 s
2023-04-18 14:08:35,235 ms,3.71 s,4.74 s
2023-04-18 14:08:40,212 ms,3.71 s,4.74 s
2023-04-18 14:08:45,194 ms,3.67 s,4.73 s
2023-04-18 14:08:50,196 ms,3.06 s,4.61 s
2023-04-18 14:08:55,194 ms,3.00 s,4.60 s
2023-04-18 14:09:00,212 ms,2.29 s,4.22 s
2023-04-18 14:09:05,212 ms,1.92 s,2.38 s
2023-04-18 14:09:10,220 ms,2.05 s,2.41 s
2023-04-18 14:09:15,212 ms,2.34 s,4.22 s
2023-04-18 14:09:20,212 ms,2.36 s,4.22 s
2023-04-18 14:09:25,212 ms,2.34 s,4.22 s
2023-04-18 14:09:30,196 ms,2.34 s,4.22 s
2023-04-18 14:09:35,212 ms,2.36 s,4.22 s
2023-04-18 14:09:40,235 ms,2.36 s,4.22 s
2023-04-18 14:09:45,235 ms,2.34 s,4.22 s
2023-04-18 14:09:50,235 ms,2.34 s,4.22 s
2023-04-18 14:09:55,235 ms,2.34 s,4.22 s
2023-04-18 14:10:00,205 ms,2.34 s,4.22 s
2023-04-18 14:10:05,220 ms,2.27 s,4.20 s
2023-04-18 14:10:10,190 ms,1.94 s,2.39 s
2023-04-18 14:10:15,231 ms,2.29 s,4.22 s
2023-04-18 14:10:20,231 ms,3.06 s,4.61 s
2023-04-18 14:10:25,250 ms,3.75 s,4.75 s
2023-04-18 14:10:30,250 ms,3.75 s,4.75 s
2023-04-18 14:10:35,225 ms,3.79 s,4.76 s
2023-04-18 14:10:40,200 ms,3.83 s,4.77 s
2023-04-18 14:10:45,212 ms,3.87 s,4.77 s
2023-04-18 14:10:50,138 ms,3.96 s,4.79 s
2023-04-18 14:10:55,212 ms,3.96 s,4.79 s
2023-04-18 14:11:00,150 ms,4.00 s,4.80 s
2023-04-18 14:11:05,150 ms,4.00 s,4.80 s
2023-04-18 14:11:10,5 ms,3.62 s,4.72 s
2023-04-18 14:11:15,4.55 ms,2.50 s,4.50 s
2023-04-18 14:11:20,4.55 ms,1 s,2.20 s
2023-04-18 14:11:25,4.55 ms,1 s,2.20 s
2023-04-18 14:11:30,4.55 ms,2.50 s,4.50 s
2023-04-18 14:11:35,4.55 ms,2.50 s,4.50 s
2023-04-18 14:11:40,4.32 ms,2.63 s,4.53 s
2023-04-18 14:11:45,4.55 ms,2.50 s,4.50 s
2023-04-18 14:11:50,4.55 ms,2.50 s,4.50 s
2023-04-18 14:11:55,4.55 ms,2.50 s,4.50 s
2023-04-18 14:12:00,4.32 ms,2.63 s,4.53 s
2023-04-18 14:12:05,4.55 ms,3.75 s,4.75 s
2023-04-18 14:12:10,4.55 ms,3.75 s,4.75 s
2023-04-18 14:12:15,4.55 ms,3.75 s,4.75 s
2023-04-18 14:12:20,4.55 ms,3.75 s,4.75 s
2023-04-18 14:12:25,4.55 ms,2.50 s,4.50 s
2023-04-18 14:12:30,4.32 ms,2.63 s,4.53 s
2023-04-18 14:12:35,4.55 ms,2.50 s,4.50 s
2023-04-18 14:12:40,4.55 ms,2.50 s,4.50 s
2023-04-18 14:12:45,4.55 ms,2.50 s,4.50 s
2023-04-18 14:12:50,4.55 ms,2.50 s,4.50 s
2023-04-18 14:12:55,4.77 ms,2.46 s,4.47 s
2023-04-18 14:13:00,4.32 ms,1.79 s,2.36 s
2023-04-18 14:13:05,4.55 ms,1.75 s,2.35 s
2023-04-18 14:13:10,4.55 ms,1.75 s,2.35 s
2023-04-18 14:13:15,4.32 ms,1.79 s,2.36 s
2023-04-18 14:13:20,4.32 ms,2.63 s,4.53 s
2023-04-18 14:13:25,4.55 ms,3.75 s,4.75 s
2023-04-18 14:13:30,62.5 ms,3.56 s,4.71 s
2023-04-18 14:13:35,150 ms,3.83 s,4.77 s
2023-04-18 14:13:40,250 ms,3.75 s,4.75 s
2023-04-18 14:13:45,339 ms,4.23 s,4.85 s
2023-04-18 14:13:50,389 ms,4.12 s,4.82 s
2023-04-18 14:13:55,347 ms,4.02 s,4.80 s
2023-04-18 14:14:00,422 ms,4.09 s,4.82 s
2023-04-18 14:14:05,469 ms,4.13 s,4.82 s
2023-04-18 14:14:10,472 ms,4.03 s,4.81 s
2023-04-18 14:14:15,455 ms,3.82 s,4.76 s
2023-04-18 14:14:20,452 ms,3.52 s,4.70 s
2023-04-18 14:14:25,425 ms,3.48 s,4.70 s
2023-04-18 14:14:30,452 ms,3.22 s,4.64 s
2023-04-18 14:14:35,500 ms,3.15 s,4.63 s
2023-04-18 14:14:40,442 ms,2.33 s,4.10 s
2023-04-18 14:14:45,420 ms,2.33 s,4.11 s
2023-04-18 14:14:50,456 ms,2.33 s,4.10 s
2023-04-18 14:14:55,408 ms,2.20 s,3.20 s
2023-04-18 14:15:00,368 ms,2.05 s,2.41 s
2023-04-18 14:15:05,356 ms,2.02 s,2.40 s
2023-04-18 14:15:10,357 ms,1.96 s,2.39 s
2023-04-18 14:15:15,322 ms,1.91 s,2.38 s
2023-04-18 14:15:20,326 ms,1.97 s,2.39 s
2023-04-18 14:15:25,303 ms,2.07 s,3.20 s
2023-04-18 14:15:30,274 ms,1.94 s,3.20 s
2023-04-18 14:15:35,287 ms,2.20 s,4.10 s
2023-04-18 14:15:40,287 ms,2.20 s,4.10 s
2023-04-18 14:15:45,276 ms,2.39 s,4.42 s
2023-04-18 14:15:50,285 ms,2.42 s,4.41 s
2023-04-18 14:15:55,306 ms,2.42 s,4.41 s
2023-04-18 14:16:00,318 ms,2.40 s,4.40 s
2023-04-18 14:16:05,298 ms,2.41 s,4.42 s
2023-04-18 14:16:10,330 ms,2.75 s,4.55 s
2023-04-18 14:16:15,342 ms,2.78 s,4.56 s
2023-04-18 14:16:20,370 ms,2.75 s,4.55 s
2023-04-18 14:16:25,375 ms,2.78 s,4.56 s
2023-04-18 14:16:30,361 ms,2.43 s,4.42 s
2023-04-18 14:16:35,364 ms,3.22 s,4.64 s
2023-04-18 14:16:40,370 ms,3.20 s,4.64 s
2023-04-18 14:16:45,365 ms,3.17 s,4.63 s
2023-04-18 14:16:50,365 ms,3.22 s,4.64 s
2023-04-18 14:16:55,359 ms,3.22 s,4.64 s
2023-04-18 14:17:00,375 ms,3.50 s,4.70 s
2023-04-18 14:17:05,394 ms,3.22 s,4.64 s
2023-04-18 14:17:10,409 ms,3.50 s,4.70 s
2023-04-18 14:17:15,386 ms,3.54 s,4.71 s
2023-04-18 14:17:20,413 ms,3.71 s,4.74 s
2023-04-18 14:17:25,422 ms,3.71 s,4.74 s
2023-04-18 14:17:30,411 ms,3.40 s,4.68 s
2023-04-18 14:17:35,444 ms,3.73 s,4.75 s
2023-04-18 14:17:40,675 ms,4.36 s,5.65 s
2023-04-18 14:17:45,942 ms,4.46 s,7.48 s
2023-04-18 14:17:50,1.15 s,4.47 s,7.40 s
2023-04-18 14:17:55,1.36 s,4.76 s,8.60 s
2023-04-18 14:18:00,1.56 s,5.68 s,9.14 s
2023-04-18 14:18:05,1.63 s,5.84 s,9.17 s
2023-04-18 14:18:10,1.64 s,5.72 s,9.14 s
2023-04-18 14:18:15,1.73 s,6.88 s,9.78 s
2023-04-18 14:18:20,1.81 s,7.27 s,9.79 s
2023-04-18 14:18:25,2.03 s,7.80 s,9.83 s
2023-04-18 14:18:30,2.18 s,8.53 s,10 s
2023-04-18 14:18:35,2.26 s,8.93 s,10 s
2023-04-18 14:18:40,2.78 s,9.54 s,10 s
2023-04-18 14:18:45,2.72 s,9.44 s,10 s
2023-04-18 14:18:50,2.62 s,9.40 s,10 s
2023-04-18 14:18:55,2.43 s,9.37 s,10 s
2023-04-18 14:19:00,2.65 s,9.49 s,10 s
2023-04-18 14:19:05,2.94 s,9.51 s,10 s
2023-04-18 14:19:10,3.17 s,9.32 s,10 s
2023-04-18 14:19:15,3.24 s,9.29 s,10 s
2023-04-18 14:19:20,3.20 s,9.87 s,10 s
2023-04-18 14:19:25,3.05 s,9.46 s,10 s
2023-04-18 14:19:30,3.06 s,9.23 s,10 s
2023-04-18 14:19:35,2.87 s,8.79 s,10 s
2023-04-18 14:19:40,3.13 s,9.33 s,10 s
2023-04-18 14:19:45,3.16 s,9.35 s,10 s
2023-04-18 14:19:50,3.11 s,9.30 s,10 s
2023-04-18 14:19:55,2.94 s,9.21 s,10 s
2023-04-18 14:20:00,2.70 s,9.13 s,10 s
2023-04-18 14:20:05,2.42 s,9.07 s,10 s
2023-04-18 14:20:10,2.45 s,9.07 s,10 s
2023-04-18 14:20:15,2.26 s,8.37 s,10 s
2023-04-18 14:20:20,2.08 s,8.25 s,10 s
2023-04-18 14:20:25,1.80 s,7.88 s,10 s
2023-04-18 14:20:30,1.56 s,7.55 s,10 s
2023-04-18 14:20:35,1.18 s,5.66 s,9.13 s
2023-04-18 14:20:40,922 ms,4.85 s,8.69 s
2023-04-18 14:20:45,875 ms,4.87 s,8.75 s
2023-04-18 14:20:50,844 ms,4.89 s,8.81 s
2023-04-18 14:20:55,800 ms,4.87 s,8.78 s
2023-04-18 14:21:00,648 ms,4.74 s,8.53 s
2023-04-18 14:21:05,525 ms,3.58 s,4.97 s
2023-04-18 14:21:10,578 ms,3.57 s,4.72 s
2023-04-18 14:21:15,578 ms,3.61 s,4.97 s
2023-04-18 14:21:20,600 ms,3.75 s,4.97 s
2023-04-18 14:21:25,676 ms,4.19 s,4.98 s
2023-04-18 14:21:30,690 ms,4.24 s,4.98 s
2023-04-18 14:21:35,660 ms,4.23 s,4.98 s
2023-04-18 14:21:40,714 ms,4.23 s,4.98 s
2023-04-18 14:21:45,766 ms,4.32 s,4.98 s
2023-04-18 14:21:50,717 ms,4.32 s,4.98 s
2023-04-18 14:21:55,690 ms,4.32 s,4.98 s
2023-04-18 14:22:00,722 ms,4.36 s,4.98 s
2023-04-18 14:22:05,620 ms,4.28 s,4.98 s
2023-04-18 14:22:10,587 ms,4.22 s,4.84 s
2023-04-18 14:22:15,538 ms,4.19 s,4.84 s
2023-04-18 14:22:20,458 ms,3.90 s,4.78 s
2023-04-18 14:22:25,444 ms,3.72 s,4.74 s
2023-04-18 14:22:30,441 ms,3.73 s,4.75 s
2023-04-18 14:22:35,403 ms,3.73 s,4.75 s
2023-04-18 14:22:40,381 ms,3.47 s,4.69 s
2023-04-18 14:22:45,412 ms,3.60 s,4.72 s
2023-04-18 14:22:50,430 ms,3.74 s,4.75 s
2023-04-18 14:22:55,434 ms,3.47 s,4.69 s
2023-04-18 14:23:00,450 ms,3.73 s,4.75 s
2023-04-18 14:23:05,461 ms,3.59 s,4.72 s
2023-04-18 14:23:10,450 ms,3.28 s,4.66 s
2023-04-18 14:23:15,474 ms,3.46 s,4.69 s
2023-04-18 14:23:20,485 ms,3.60 s,4.72 s
2023-04-18 14:23:25,489 ms,3.78 s,4.76 s
2023-04-18 14:23:30,489 ms,3.76 s,4.75 s
2023-04-18 14:23:35,552 ms,3.92 s,4.78 s
2023-04-18 14:23:40,509 ms,4.04 s,4.81 s
2023-04-18 14:23:45,480 ms,3.96 s,4.79 s
2023-04-18 14:23:50,493 ms,3.98 s,4.80 s
2023-04-18 14:23:55,497 ms,3.92 s,4.78 s
2023-04-18 14:24:00,480 ms,3.83 s,4.77 s
2023-04-18 14:24:05,490 ms,3.88 s,4.78 s
2023-04-18 14:24:10,507 ms,3.87 s,4.77 s
2023-04-18 14:24:15,532 ms,3.83 s,4.77 s
2023-04-18 14:24:20,621 ms,4.21 s,6.77 s
2023-04-18 14:24:25,758 ms,4.62 s,8.40 s
2023-04-18 14:24:30,910 ms,5.72 s,9.14 s
2023-04-18 14:24:35,885 ms,5.81 s,9.16 s
2023-04-18 14:24:40,888 ms,5.72 s,9.14 s
2023-04-18 14:24:45,810 ms,5.84 s,9.17 s
2023-04-18 14:24:50,865 ms,5.81 s,9.16 s
2023-04-18 14:24:55,845 ms,5.75 s,9.15 s
2023-04-18 14:25:00,870 ms,5.87 s,9.17 s
2023-04-18 14:25:05,926 ms,6.70 s,9.34 s
2023-04-18 14:25:10,981 ms,7.35 s,9.47 s
2023-04-18 14:25:15,1.02 s,7.45 s,9.49 s
2023-04-18 14:25:20,894 ms,7.04 s,9.41 s
2023-04-18 14:25:25,764 ms,5.78 s,9.16 s
2023-04-18 14:25:30,818 ms,5.81 s,9.16 s
2023-04-18 14:25:35,848 ms,5.81 s,9.16 s
2023-04-18 14:25:40,896 ms,5.72 s,9.14 s
2023-04-18 14:25:45,871 ms,5.75 s,9.15 s
2023-04-18 14:25:50,893 ms,5.78 s,9.16 s
2023-04-18 14:25:55,850 ms,5.66 s,9.13 s
2023-04-18 14:26:00,794 ms,4.91 s,8.85 s
2023-04-18 14:26:05,720 ms,4.42 s,7.53 s
2023-04-18 14:26:10,685 ms,4.02 s,4.80 s
2023-04-18 14:26:15,771 ms,4.45 s,4.96 s
2023-04-18 14:26:20,912 ms,4.78 s,8.10 s
2023-04-18 14:26:25,1.12 s,4.90 s,9.42 s
2023-04-18 14:26:30,1.78 s,4.99 s,9.54 s
2023-04-18 14:26:35,2.58 s,6.11 s,10 s
2023-04-18 14:26:40,2.88 s,7.36 s,10 s
2023-04-18 14:26:45,3.17 s,8.42 s,10 s
2023-04-18 14:26:50,3.28 s,9.27 s,10 s
2023-04-18 14:26:55,3.47 s,9.35 s,10 s
2023-04-18 14:27:00,3.68 s,9.70 s,10 s
2023-04-18 14:27:05,3.72 s,9.97 s,10 s
2023-04-18 14:27:10,3.72 s,9.95 s,10 s
2023-04-18 14:27:15,3.74 s,10 s,10 s
2023-04-18 14:27:20,3.73 s,10 s,10 s
2023-04-18 14:27:25,3.60 s,10 s,10 s
2023-04-18 14:27:30,3.56 s,10 s,10 s
2023-04-18 14:27:35,3.55 s,10 s,10 s
2023-04-18 14:27:40,3.53 s,10 s,10 s
2023-04-18 14:27:45,3.50 s,9.38 s,10 s
2023-04-18 14:27:50,3.48 s,10 s,10 s
2023-04-18 14:27:55,3.44 s,10 s,10 s
2023-04-18 14:28:00,3.41 s,9.96 s,10 s
2023-04-18 14:28:05,3.33 s,10 s,10 s
2023-04-18 14:28:10,3.10 s,9.67 s,10 s
2023-04-18 14:28:15,2.87 s,8.47 s,10 s
2023-04-18 14:28:20,2.99 s,8.86 s,10 s
2023-04-18 14:28:25,2.81 s,9.06 s,10 s
2023-04-18 14:28:30,2.18 s,9.29 s,10 s
2023-04-18 14:28:35,1.35 s,8.00 s,10 s
2023-04-18 14:28:40,719 ms,8.45 s,10 s
2023-04-18 14:28:45,417 ms,4.17 s,8.50 s
2023-04-18 14:28:50,366 ms,2.39 s,4.26 s
2023-04-18 14:28:55,366 ms,2.41 s,4.29 s
2023-04-18 14:29:00,365 ms,2.40 s,4.25 s
2023-04-18 14:29:05,350 ms,2.27 s,3.50 s
2023-04-18 14:29:10,304 ms,2.26 s,3.55 s
2023-04-18 14:29:15,288 ms,2.40 s,4.27 s
2023-04-18 14:29:20,288 ms,2.39 s,4.27 s
2023-04-18 14:29:25,337 ms,2.62 s,4.52 s
2023-04-18 14:29:30,339 ms,2.40 s,4.27 s
2023-04-18 14:29:35,384 ms,2.54 s,4.51 s
2023-04-18 14:29:40,384 ms,2.62 s,4.52 s
2023-04-18 14:29:45,398 ms,2.62 s,4.53 s
2023-04-18 14:29:50,409 ms,2.50 s,4.50 s
2023-04-18 14:29:55,365 ms,2.54 s,4.51 s
2023-04-18 14:30:00,386 ms,3.19 s,4.64 s
2023-04-18 14:30:05,417 ms,3.19 s,4.64 s
2023-04-18 14:30:10,393 ms,2.58 s,4.52 s
2023-04-18 14:30:15,411 ms,2.50 s,4.50 s
2023-04-18 14:30:20,383 ms,2.35 s,4.25 s
2023-04-18 14:30:25,366 ms,2.34 s,4.26 s
2023-04-18 14:30:30,358 ms,2.63 s,4.53 s
2023-04-18 14:30:35,375 ms,2.58 s,4.52 s
2023-04-18 14:30:40,406 ms,3.50 s,4.70 s
2023-04-18 14:30:45,398 ms,3.57 s,4.72 s
2023-04-18 14:30:50,433 ms,3.55 s,4.71 s
2023-04-18 14:30:55,398 ms,3.16 s,4.63 s
2023-04-18 14:31:00,392 ms,3.16 s,4.63 s
2023-04-18 14:31:05,375 ms,3.16 s,4.63 s
2023-04-18 14:31:10,367 ms,3.19 s,4.64 s
2023-04-18 14:31:15,346 ms,3.19 s,4.64 s
2023-04-18 14:31:20,342 ms,3.16 s,4.63 s
2023-04-18 14:31:25,339 ms,2.58 s,4.52 s
2023-04-18 14:31:30,420 ms,3.32 s,4.66 s
2023-04-18 14:31:35,490 ms,4.47 s,6.45 s
2023-04-18 14:31:40,1.06 s,6.45 s,10 s
2023-04-18 14:31:45,2.31 s,7.37 s,10 s
2023-04-18 14:31:50,2.97 s,8.19 s,10 s
2023-04-18 14:31:55,3.18 s,8.44 s,10 s
2023-04-18 14:32:00,3.37 s,9.30 s,10 s
2023-04-18 14:32:05,3.50 s,9.91 s,10 s
2023-04-18 14:32:10,3.58 s,9.63 s,10 s
2023-04-18 14:32:15,3.62 s,9.44 s,10 s
2023-04-18 14:32:20,3.68 s,9.59 s,10 s
2023-04-18 14:32:25,3.80 s,9.80 s,10 s
2023-04-18 14:32:30,3.77 s,9.71 s,10 s
2023-04-18 14:32:35,3.77 s,10 s,10 s
2023-04-18 14:32:40,3.77 s,10 s,10 s
2023-04-18 14:32:45,3.76 s,9.72 s,10 s
2023-04-18 14:32:50,3.77 s,10 s,10 s
2023-04-18 14:32:55,3.77 s,9.55 s,10 s
2023-04-18 14:33:00,3.77 s,9.51 s,10 s
2023-04-18 14:33:05,3.75 s,9.57 s,10 s
2023-04-18 14:33:10,3.78 s,9.55 s,10 s
2023-04-18 14:33:15,3.77 s,9.75 s,10 s
2023-04-18 14:33:20,3.74 s,10 s,10 s
2023-04-18 14:33:25,3.77 s,10 s,10 s
2023-04-18 14:33:30,3.75 s,9.76 s,10 s
2023-04-18 14:33:35,3.77 s,9.74 s,10 s
2023-04-18 14:33:40,3.74 s,9.74 s,10 s
2023-04-18 14:33:45,3.72 s,9.67 s,10 s
2023-04-18 14:33:50,3.69 s,9.71 s,10 s
2023-04-18 14:33:55,3.70 s,9.46 s,10 s
2023-04-18 14:34:00,3.72 s,9.79 s,10 s
2023-04-18 14:34:05,3.62 s,9.93 s,10 s
2023-04-18 14:34:10,3.46 s,9.39 s,10 s
2023-04-18 14:34:15,3.34 s,8.83 s,10 s
2023-04-18 14:34:20,3.15 s,8.57 s,10 s
2023-04-18 14:34:25,2.93 s,8.22 s,10 s
2023-04-18 14:34:30,2.63 s,7.59 s,10 s
2023-04-18 14:34:35,2.01 s,7.21 s,10 s
2023-04-18 14:34:40,1.21 s,5.79 s,10 s
2023-04-18 14:34:45,837 ms,5.96 s,10 s
2023-04-18 14:34:50,537 ms,4.40 s,8.90 s
2023-04-18 14:34:55,487 ms,3.85 s,4.77 s
2023-04-18 14:35:00,532 ms,3.91 s,4.78 s
2023-04-18 14:35:05,483 ms,3.92 s,4.78 s
2023-04-18 14:35:10,486 ms,3.98 s,4.80 s
2023-04-18 14:35:15,492 ms,4.14 s,4.97 s
2023-04-18 14:35:20,606 ms,4.40 s,6.95 s
2023-04-18 14:35:25,517 ms,4.32 s,6.95 s
2023-04-18 14:35:30,534 ms,4.29 s,7.00 s
2023-04-18 14:35:35,543 ms,4.28 s,6.98 s
2023-04-18 14:35:40,536 ms,4.32 s,6.95 s
2023-04-18 14:35:45,617 ms,4.38 s,7 s
2023-04-18 14:35:50,617 ms,4.35 s,6.93 s
2023-04-18 14:35:55,577 ms,4.36 s,7.20 s
2023-04-18 14:36:00,615 ms,4.42 s,7.38 s
2023-04-18 14:36:05,625 ms,4.45 s,7.58 s
2023-04-18 14:36:10,595 ms,4.25 s,5.40 s
2023-04-18 14:36:15,461 ms,3.89 s,4.78 s
2023-04-18 14:36:20,461 ms,3.73 s,4.75 s
2023-04-18 14:36:25,423 ms,3.67 s,4.73 s
2023-04-18 14:36:30,354 ms,3.31 s,4.66 s
2023-04-18 14:36:35,319 ms,3.21 s,4.64 s
2023-04-18 14:36:40,241 ms,2.69 s,4.54 s
2023-04-18 14:36:45,194 ms,1.97 s,4.32 s
2023-04-18 14:36:50,212 ms,1.90 s,4.30 s
2023-04-18 14:36:55,262 ms,2.24 s,4.32 s
2023-04-18 14:37:00,212 ms,2.24 s,4.32 s
2023-04-18 14:37:05,212 ms,1.82 s,2.36 s
2023-04-18 14:37:10,213 ms,1.99 s,2.40 s
2023-04-18 14:37:15,212 ms,2.09 s,2.42 s
2023-04-18 14:37:20,212 ms,2.09 s,2.42 s
2023-04-18 14:37:25,212 ms,2.21 s,2.44 s
2023-04-18 14:37:30,200 ms,2.20 s,2.44 s
2023-04-18 14:37:35,156 ms,2.21 s,2.44 s
2023-04-18 14:37:40,160 ms,2.20 s,2.44 s
2023-04-18 14:37:45,137 ms,2.16 s,2.43 s
2023-04-18 14:37:50,137 ms,2.16 s,2.43 s
